record_id,step_0,step_1,step_2,step_3
281,0.0,3592,41,2379.0
2667,1.0,3589,4146,2197.0
603,2.0,3449,274,955.0
830,3.0,3945,1292,1451.0
1008,4.0,585,1360,2208.0
2580,5.0,2361,965,901.0
576,6.0,385,1539,2083.0
936,7.0,1437,3129,2868.0
2202,8.0,2063,1807,752.0
453,9.0,4653,731,686.0
2511,10.0,12,1195,625.0
1601,11.0,542,1696,420.0
2503,12.0,2062,2881,235.0
1229,13.0,2879,3103,2320.0
647,14.0,3848,1855,2765.0
494,15.0,2016,639,2229.0
1248,16.0,4063,751,1040.0
837,17.0,229,1135,1720.0
1481,18.0,1927,878,807.0
1488,19.0,3508,1790,2156.0
1141,20.0,2811,4306,1597.0
16,21.0,1949,4790,2591.0
2143,22.0,1977,3571,2074.0
2671,23.0,3649,3514,1766.0
2484,24.0,2860,3474,2752.0
2186,25.0,1880,1620,2693.0
1249,26.0,2666,4096,312.0
2645,27.0,765,3225,765.0
1941,28.0,3357,3407,2623.0
1367,29.0,4184,2261,2020.0
2701,30.0,888,4399,2634.0
1513,31.0,219,46,2740.0
799,32.0,2202,1551,355.0
1391,33.0,2340,1085,195.0
373,34.0,2682,2277,2645.0
317,35.0,1447,4493,749.0
261,36.0,3888,790,2662.0
1380,37.0,4734,52,654.0
341,38.0,217,4534,2095.0
2771,39.0,806,2752,2249.0
2285,40.0,1346,3967,467.0
1525,41.0,2542,1537,1398.0
1706,42.0,4838,161,1948.0
2342,43.0,1540,1829,588.0
795,44.0,3487,3430,1321.0
2045,45.0,2285,1771,267.0
2638,46.0,4051,2635,1828.0
2390,47.0,2378,4074,2404.0
1071,48.0,2431,1323,1716.0
1056,49.0,2926,136,231.0
2536,50.0,3970,2898,1116.0
126,51.0,3721,3842,1310.0
977,52.0,1954,1534,1441.0
282,53.0,2687,2436,396.0
1918,54.0,1738,359,1131.0
1206,55.0,3989,737,473.0
452,56.0,2565,3100,2126.0
2866,57.0,625,3271,603.0
94,58.0,4297,297,524.0
1532,59.0,1750,1112,1756.0
2616,60.0,2315,3130,1326.0
748,61.0,3520,883,2243.0
2554,62.0,1012,1665,63.0
2692,63.0,4621,3713,223.0
865,64.0,4490,1656,1364.0
1597,65.0,2959,984,1687.0
1972,66.0,3022,4187,1586.0
618,67.0,701,4622,1167.0
348,68.0,330,4311,2586.0
828,69.0,4542,143,1395.0
651,70.0,2418,1193,1676.0
1632,71.0,4770,3001,1870.0
814,72.0,1770,2215,56.0
1580,73.0,3689,3737,1666.0
302,74.0,1065,4242,925.0
1091,75.0,1724,4075,1653.0
1958,76.0,964,2901,721.0
1303,77.0,4394,4403,2093.0
2412,78.0,4647,3944,1365.0
476,79.0,1905,2697,1087.0
1365,80.0,4834,2981,2665.0
2110,81.0,828,1448,2507.0
2414,82.0,4127,3214,1779.0
1290,83.0,3569,4160,1035.0
1998,84.0,4146,4183,344.0
2283,85.0,4262,466,736.0
2181,86.0,3548,328,619.0
2448,87.0,4138,1675,2087.0
2111,88.0,3787,808,2571.0
1643,89.0,1963,4812,330.0
1487,90.0,1731,4448,2058.0
1291,91.0,3459,4293,1543.0
1928,92.0,2790,2443,555.0
2150,93.0,3505,3857,748.0
2765,94.0,674,3114,774.0
2530,95.0,3336,2286,1031.0
2189,96.0,3834,4326,463.0
1544,97.0,1993,3997,2824.0
1034,98.0,2516,477,668.0
1209,99.0,1009,1102,2140.0
2577,100.0,2763,3958,1381.0
2581,101.0,3915,962,769.0
1061,102.0,4223,846,484.0
395,103.0,3337,411,2486.0
1263,104.0,4200,2696,2193.0
2642,105.0,3298,4801,1222.0
931,106.0,3811,1484,1339.0
1716,107.0,1212,1613,744.0
1345,108.0,2980,1868,1548.0
1486,109.0,1587,2666,884.0
794,110.0,1903,2284,299.0
440,111.0,3482,349,2577.0
723,112.0,673,2202,581.0
2287,113.0,435,2205,1656.0
139,114.0,2507,3840,2254.0
2863,115.0,2868,2360,213.0
1675,116.0,1526,3598,2092.0
2545,117.0,1618,798,1181.0
1128,118.0,1198,3442,1047.0
1124,119.0,2756,248,637.0
2165,120.0,236,1994,2561.0
2647,121.0,1698,1536,2548.0
1133,122.0,154,3283,1786.0
2558,123.0,2200,2756,739.0
361,124.0,4069,3383,334.0
1931,125.0,1633,3920,1281.0
2524,126.0,4608,2140,662.0
903,127.0,1244,3952,1936.0
