pubmedID,title,keywords,authors,abstracts,label1,label2
10070306,Docetaxel (Taxotere) plus cisplatin: an active and well-tolerated combination in patients with advanced non-small cell lung cancer.,"Adolescent; Adult; Aged; Antineoplastic Combined Chemotherapy Protocols; Carcinoma, Non-Small-Cell Lung; Cisplatin; Female; Humans; Lung Neoplasms; Male; Middle Aged; Neutropenia; Paclitaxel; Survival Rate; Taxoids; Treatment Outcome","Le Chevalier, T; Monnier, A; Douillard, J Y; Ruffie, P; Sun, X S; Belli, L; Ibrahim, N; Bougon, N; B茅rille, J","The activity of the combination of intravenous docetaxel 75 mg/m2 plus cisplatin 100 mg/m2 administered every 3 weeks for 3 cycles then every 6 weeks was investigated in 51 chemotherapy naive patients with locally advanced or metastatic non-small cell lung cancer (NSCLC). The population was 92% male, with a median age of 54 years and median performance status of 1; 80% of patients had metastatic disease, including 37% with bone involvement. All patients received prophylactic premedication (ondansetron, dexamethasone plus cetirizine) and standard hyperhydration. With a median of 4 treatment cycles (range 1-9), 14 of 42 evaluable patients responded (overall response rate 33.3%, 95% CI 19.6-49.6%); the median response duration was 7.3 months, median survival 8.4 months, and 1-year survival rate 35%. The most common adverse event was neutropenia, occurring in two-thirds of patients. Neurosensory effects were cumulative but generally mild. No treatment-related deaths occurred. This combination of docetaxel/cisplatin showed activity in advanced NSCLC. While it was not clearly superior to single-agent docetaxel, due to differences in prognostic factors among the patients in open trials, a randomised study would be needed to demonstrate definitively whether cisplatin adds to the activity of docetaxel or not.",E,E
10090440,Link between patient preferences and treatment outcomes in seasonal allergic rhinitis: an empiric investigation.,"Adult; Double-Blind Method; Female; Histamine H1 Antagonists; Humans; Loratadine; Male; Patient Satisfaction; Rhinitis, Allergic, Perennial; Surveys and Questionnaires; Terfenadine; Treatment Outcome","Ricard, N; Kind, P; Christian, S; Jensen, M; Stewart, J","In a multicenter, parallel-group, double-masked, randomized study, two questionnaires were administered to a clinical study population to identify which specific symptoms of seasonal allergic rhinitis patients perceived as most important to relieve (personal preferences) and to learn whether any relationship existed between patient preferences and the severity of their symptoms during treatment with antihistamines. The group was composed of 256 males and 313 females. Their mean age was 32.4 years, and mean duration of seasonal allergic rhinitis was 14.5 years, with mean age of onset of 17.7 years. After receiving placebo for 1 week, patients were randomly allocated to receive an antihistamine (fexofenadine or loratadine) for 2 weeks. Patient preferences for relief of individual allergy symptoms (rhinitis; sneezing; itchy, watery, red eyes; itchy nose, palate, or throat) and related conditions (fatigue, physical limitations) were scored using 2 different questionnaires before treatment (0-to-10 category rating scale for assessing the 4 symptoms of allergic rhinitis) and after receiving placebo for 1 week (Feeling Thermometer). Symptom severity was reported in patient diaries after 1 and 2 weeks of antihistamine treatment and was measured by patient self-assessment. All symptoms were considered by the patients to be important to relieve, the most important being itchy, watery, red eyes and rhinorrhea. The severity of allergy symptoms was consistently related to the importance of symptoms identified before treatment. Therefore, including patient preferences in medical evaluations might be a useful tool in evaluating the success of their treatment.",I,I
10099066,Comparative efficacy and safety of once-daily versus twice-daily loratadine-pseudoephedrine combinations versus placebo in seasonal allergic rhinitis.,"Adolescent; Adult; Aged; Analysis of Variance; Anti-Allergic Agents; Child; Delayed-Action Preparations; Double-Blind Method; Drug Administration Schedule; Drug Combinations; Ephedrine; Female; Humans; Loratadine; Male; Middle Aged; Rhinitis, Allergic, Seasonal; Tablets; Treatment Outcome; United States; Vasoconstrictor Agents","Kaiser, H B; Banov, C H; Berkowitz, R R; Bernstein, D I; Bronsky, E A; Georgitis, J W; Mendelson, L M; Rooklin, A R; Sholler, L J; Stricker, W W; Harrison, J E; Danzig, M R; Lorber, R R","The objective of this study was to compare the efficacy and safety of Claritin-D 24 Hour (once daily) with that of Claritin-D 12 Hour (twice daily) and placebo in the treatment of patients with seasonal allergic rhinitis (SAR). In this double-blind, placebo-controlled, multicenter study, 469 patients with moderate-to-severe SAR symptoms were treated for 2 weeks with one of the following: Claritin-D 24 Hour (a combination tablet formulation of loratadine 10 mg in the coating and pseudoephedrine sulfate 240 mg in an extended-release core), Claritin-D 12 Hour (a combination tablet formulation of loratadine 5 mg in the tablet coating and 120 mg pseudoephedrine sulfate, 60 mg in the coating and 60 mg in the core), or placebo. Claritin-D 24 Hour and Claritin-D 12 Hour were consistently superior to placebo (P < 0.01) in reducing total, nasal, and nonnasal symptom scores. Patients in the Claritin-D 24 Hour and Claritin-D 12 Hour groups also had significantly greater (P </= 0.05) relief of rhinorrhea and nasal stuffiness as compared with placebo. Insomnia was reported significantly more often (P < 0.01) in Claritin-D 12 Hour (15%) patients compared with Claritin-D 24 Hour (4%) and placebo (2%) patients. Dry mouth was reported significantly more often (P < 0.05) in Claritin-D 24 Hour (13%) and Claritin-D 12 Hour (13%) groups compared with placebo (4%). Claritin-D 24 Hour has efficacy comparable to Claritin-D 12 Hour in relieving allergic rhinitis symptoms while producing significantly less insomnia.",E,E
10099074,Nasal effect of cetirizine and loratadine at 24 hours in patients with allergic rhinitis.,"Adult; Cetirizine; Cross-Over Studies; Dose-Response Relationship, Drug; Double-Blind Method; Female; Histamine; Histamine H1 Antagonists; Humans; Loratadine; Male; Nasal Mucosa; Rhinitis, Allergic, Perennial; Rhinitis, Allergic, Seasonal","Frossard, N; Benabdesselam, O; Melac, M; Glasser, N; Lacronique, J; Pauli, G","Numerous studies have compared the duration of the cutaneous effect of cetirizine and loratadine. We assessed their nasal effects 24 hours after administration in patients with allergic rhinitis, using a randomized, double-blind, crossover, placebo-controlled trial. Nasal challenge was performed by nebulization of increasing doubling dosages of histamine (0.04-1.28 mg/nostril) in 12 patients (seven males, five females, aged 31 +/- 7 years). Nasal airway resistance was measured by posterior rhinomanometry 24 hours after intake of cetirizine (10 mg), loratadine (10 mg), or placebo. Baseline nasal airway resistance was identical on all study days (2.86 +/- 0.10 cm H2 O/L per second). Twenty-four hours after intake, the dose-response curve of nasal obstruction to histamine was significantly lower after treatment with cetirizine compared with placebo (P < 0.05). However, although the curve was lower on loratadine than on placebo, the curves did not differ significantly. In conclusion, our study shows significant efficacy of cetirizine, but not of loratadine, in the nose at 24 hours after a single dose. This suggests that the nasal action of cetirizine is longer lasting than that of loratadine in patients with allergic rhinitis.",I,1
10173369,Comparison of intranasal triamcinolone acetonide with oral loratadine in the treatment of seasonal ragweed-induced allergic rhinitis.,"Administration, Intranasal; Administration, Oral; Adult; Anti-Allergic Agents; Anti-Inflammatory Agents; Disease Management; Double-Blind Method; Female; Humans; Loratadine; Male; Managed Care Programs; Middle Aged; Rhinitis, Allergic, Seasonal; Treatment Outcome; Triamcinolone Acetonide","Gawchik, S M; Lim, J","A double-blind, randomized, multicenter, parallel-group controlled study compared the efficacy and safety of intranasal triamcinolone acetonide (220 micrograms/day) and oral loratadine (10 mg/day) in patients with at least two seasons of ragweed-induced seasonal allergic rhinitis. A 28-day screening period, including a 5-day baseline period, preceded a 4-week treatment period. Reduction in rhinitis symptom scores was evident in both groups as early as day 1, with no significant between-group differences during week 1. At weeks 2, 3, and 4, patients treated with triamcinolone acetonide were significantly (P < 0.05) more improved in total nasal score, nasal itch, nasal stuffiness, and sneezing than were patients treated with loratadine. At weeks 3 and 4, rhinorrhea and ocular symptoms were significantly (P < 0.05) more improved from baseline among triamcinolone acetonide patients compared with loratadine patients. There was no significant between-group difference in relief from postnasal drip at any time point. Physicians' global evaluations significantly (P = 0.002) favored triamcinolone acetonide at the final visit, with moderate to complete relief of symptoms attained by 68% of triamcinolone acetonide patients and 59% of loratadine patients. Over the 4-week treatment period, triamcinolone acetonide patients had significantly greater improvement in total nasal score, nasal itch, nasal stuffiness, sneezing, and ocular symptoms. Both treatments were well tolerated, with headache being the most frequently reported drug-related adverse effect in both the triamcinolone acetonide (15%) and loratadine (11%) groups. These results indicate that triamcinolone acetonide is more effective than oral loratadine in relieving the symptoms of ragweed-induced seasonal allergic rhinitis.",E,E
10206720,Administration of acetylcholine and vasoactive intestinal polypeptide to atopic eczema patients.,"Acetylcholine; Adult; Cetirizine; Cholinergic Agents; Cross-Over Studies; Dermatitis, Atopic; Double-Blind Method; Erythema; Female; Histamine H1 Antagonists; Humans; Injections, Intradermal; Male; Pain; Pruritus; Psychophysics; Skin; Vasoactive Intestinal Peptide","Rukwied, R; Heyer, G","Responses to acetylcholine (ACh) and vasoactive intestinal polypeptide (VIP) were investigated in atopic eczema (AE) patients. To elucidate the involvement of histamine to ACh-provoked vasoreactions and sensations, we applied a selective H1-antagonist (cetirizine) 3 h prior to the ACh-administration. Solutions of acetylcholine (ACh, 0.55 M) and vasoactive intestinal polypeptide (VIP, 1.5x 10(-5) M) were injected (10 microl) intracutaneously into the volar forearm of 14 healthy subjects and 14 atopic eczema (AE) patients. The substances were applied as single stimulus as well as in combination. Sensations evoked by the stimulation were recorded using 2 visual analog scales (VAS). Vasoreactions were analyzed with the new technique of computer assisted video image analysis. With this method we measured the dynamics of the flare development and the extension of the final flare size independent of the observer's assessment. In control subjects the development and extension of the final flare size was almost similar, regardless whether ACh and VIP were applied in combination or separately. Compared to healthy controls, after injection of ACh, VIP and the combination of VIP and ACh smaller flare sizes were recorded in AE patients. After VIP was given, the control subjects reported pruritus, which was significantly augmented compared to AE patients. In contrast, controls reported a burning pain after the injection of ACh, whereas AE patients felt predominantly pruritus. Itch sensation after the combined application of VIP and ACh was significantly elevated in AE patients. Consequently, we assume that mediators of sudomotor neurons, i.e., VIP and ACh meet in AE patients apparently sensitized nociceptive primary afferents and induce exaggerated itch, pain and flare responses. When pretreated with the selective H1-antagonist cetirizine before ACh was injected, pain and erythema due to ACh was diminished in healthy controls. In contrast, cetirizine did not influence the size of erythema and the magnitude of sensation in AE patients. We conclude, that the release of histamine is not involved in ACh-induced erythema and pruritus in AE. These data provide evidence that pruritus can be elicited in atopic eczema by a cholinergic, histamine independent mechanism.",E,E
10215756,Risk of ventricular arrhythmias associated with nonsedating antihistamine drugs.,"Adolescent; Adult; Aged; Arrhythmias, Cardiac; Astemizole; Case-Control Studies; Cetirizine; Child; Child, Preschool; Cohort Studies; Cytochrome P-450 Enzyme Inhibitors; Enzyme Inhibitors; Female; Histamine H1 Antagonists; Humans; Infant; Infant, Newborn; Information Systems; Loratadine; Male; Middle Aged; Risk Factors; Tachycardia, Ventricular; Terfenadine; Triprolidine","de Abajo, F J; Rodr铆guez, L A","To quantify and compare the incidence of ventricular arrhythniias associated with the use of five nonsedating antihistamines: acrivastine, astemizole, cetirizine, loratadine and terfenadine. The effects of age, sex, dose, duration of treatment, and the interaction with P450 inhibitor drugs were also examined.; We carried out a cohort study with a nested case-control analysis using the UK-based General Practice Research database (GPRD). The study cohort included persons aged less than 80 years old who received their first prescription for any of the five study drugs between January 1, 1992 and September 30, 1996. We estimated relative risks and 95% confidence intervals of idiopathic ventricular arrhythmias with current use of antihistamines as compared with non use.; The study cohort included 197425 persons who received 513012 prescriptions. Over the study period 18 valid cases of idiopathic ventricular arrhythmias were detected. Nine occurred during the current use of any antihistamine, resulting in a crude incidence of 1.9 per 10000 person-years (95%CI: 1.0-3.6) and a relative risk of 4.2 (95%CI: 1.5-11.8) as compared with non use. Astemizole presented the highest relative risk (RR= 19.0; 95%CI: 4.8-76.0) of all study drugs, while terfenadine (RR=2.1; 95%CI:0.5-8.5) was in the range of other nonsedating antihistamines. Older age was associated with a greater risk of ventricular arrhythmias (RR=7.4; 95%CI: 2.6-21.4) and seemed to increase the effect of antihistamines (RR=6.4; 95%CI: 1.7-24.8). The proportions of high dose terfenadine and the concomitant use with P450 inhibitors among current users of terfenadine were 2.7% and 3.4%, respectively over the study period with no single case of ventricular arrhythmias occurring in the presence of these two risk factors.; The use of nonsedating antihistamines increases the risk of ventricular arrhythmias by a factor of four in the general population. Yet, the absolute effect is quite low requiring 57000 prescriptions, or 5300 person-years of use for one case to occur. The risk associated with terfenadine was no different from that with other nonsedating antihistamines.",I,E
10230583,Treating allergic rhinitis in pregnancy. Safety considerations.,"Animals; Female; Histamine H1 Antagonists; Humans; Nasal Decongestants; Pregnancy; Pregnancy Complications; Rhinitis, Allergic, Perennial; Rhinitis, Allergic, Seasonal","Mazzotta, P; Loebstein, R; Koren, G","Allergic rhinitis affects approximately one-third of women of childbearing age. As a result, symptoms ranging from sneezing and itching to severe nasal obstruction may require pharmacotherapy. However, product labels state that medications for allergic rhinitis should be avoided during pregnancy due to lack of fetal safety data, even though the majority of the agents have human data which refute these notions. We present a systematic and critical review of the medical literature on the use of pharmacotherapy for the management of allergic rhinitis during pregnancy. Electronic databases and other literature sources were searched to identify observational controlled studies focusing on the rate of fetal malformations in pregnant women exposed to agents used to treat allergic rhinitis and related diseases compared with controls. Immunotherapy and intranasal sodium cromoglycate (cromolyn) and beclo-methasone would be considered as first-line therapy, both because of their lack of association with congenital abnormalities and their superior efficacy to other agents. First-generation (e.g. chlorpheniramine) and second-generation (e.g. cetirizine) antihistamines have not been incriminated as human teratogens. However, first-generation antihistamines are favoured over their second generation counterparts based on their longevity, leading to more conclusive evidence of safety. There are no controlled trials with loratadine and fexofenadine in human pregnancy. Oral, intranasal and ophthalmic decongestants (e.g. pseudoephedrine, phenylephrine and oxymetazoline, respectively) should be considered as second-line therapy, although further studies are needed to clarify their fetal safety. No human reproductive studies have been reported with the ophthalmic antihistamines ketorolac and levocabastine, although preliminary data reported suggest no association between pheniramine and congenital malformations. There are no documented epidemiological studies with intranasal corticosteroids (e.g. budesonide, fluticasone propionate, mometasone) during pregnancy; however, inhaled corticosteroids (e.g. beclomethasone) have not been incriminated as teratogens and are commonly used by pregnant women who have asthma. In summary, women with allergic rhinitis during pregnancy can be treated with a number of pharmacological agents without concern of untoward effects on their unborn child. Although the choice of agents in part should be based on evidence of fetal safety, issue of efficacy needs to be addressed in order to optimally manage this condition.",I,E
10335761,Cardiovascular safety of fexofenadine HCl.,"Double-Blind Method; Drug Interactions; Electrocardiography; Heart Conduction System; Histamine Antagonists; Humans; Randomized Controlled Trials as Topic; Rhinitis, Allergic, Seasonal; Terfenadine","Pratt, C M; Mason, J; Russell, T; Reynolds, R; Ahlbrandt, R","Fexofenadine HCl is the acid metabolite of terfenadine (Seldane). The effect of this recently approved nonsedating antihistamine on the corrected QT interval (QTc) was evaluated in dose-tolerance, safety, and drug-interaction studies with healthy volunteers, and in clinical studies in patients with seasonal allergic rhinitis (SAR). Twelve-lead electrocardiographic data were collected once before and after dosing or serially throughout these studies. Outliers were defined as QTc > 440 ms with a > or = 10 ms increase from baseline. The recommended fexofenadine HCl dose is 60 mg twice daily. Fexofenadine HCl doses up to 800 mg once daily or 690 mg twice daily for 28 days resulted in no dose-related increases in QTc. Longer term studies indicated no statistically significant QTc increases compared with placebo in patients receiving fexofenadine HCl 80 mg twice daily for 3 months, 60 mg twice daily for 6 months, or 240 mg once daily for 12 months. Interaction studies showed no significant increases in QTc when fexofenadine HCl 120 mg twice daily was administered in combination with erythromycin (500 mg 3 times daily) or ketoconazole (400 mg once daily) after dosing to steady state (6.5 days). Clinical trials in patients with SAR (n = 1,160) treated with 40, 60, 120, or 240 mg twice-daily fexofenadine HCl or placebo indicated no dose-related increases in QTc and no statistically significant increases in mean QTc compared with placebo. In controlled trials with approximately 6,000 persons, no case of fexofenadine-associated torsades de pointes was observed. The frequency and magnitude of QTc outliers were similar between fexofenadine HCl and placebo in all studies. Based on a large clinical database, we conclude that fexofenadine HCl has no significant effect on QTc, even at doses > 10-fold higher than that is efficacious for SAR.",E,E
10335901,Variations among non-sedating antihistamines: are there real differences?,Astemizole; Benzimidazoles; Butyrophenones; Central Nervous System; Cetirizine; Drug Interactions; Heart; Histamine H1 Antagonists; Humans; Hypnotics and Sedatives; Loratadine; Piperidines; Potassium Channel Blockers; Terfenadine; Triprolidine,"Mattila, M J; Paakkari, I","Most of the modern non-sedating H1 receptor antagonists (antihistamines) penetrate the brain poorly, allowing the use of doses large enough to counteract allergic processes in peripheral tissues without important central effects. The antihistamines reviewed here are acrivastine, astemizole, cetirizine, ebastine, fexofenadine, loratadine, mizolastine, and terfenadine. However, these drugs are not entirely free from central effects, and there are at least quantitative differences between them. Although psychomotor and sleep studies in healthy subjects in the laboratory may predict that an antihistamine does not cause drowsiness, the safety margin can be narrow enough to cause a central sedating effect during actual treatment. This might result from a patient's individual sensitivity, disease-induced sedation, or drug dosages that are for various reasons relatively or absolutely larger (patient's weight, poor response, reduced drug clearance, interactions). Mild to even moderate sedation is not necessarily a major nuisance, particularly if stimulants need be added to the regimen (e.g. in perennial rhinitis). Furthermore, patients can adjust doses themselves if needed. Sedating antihistamines are not needed for long-term itching, because glucocorticoids are indicated and more effective. It is wise to restrict or avoid using antihistamines (astemizole, terfenadine) that can cause cardiac dysrhythmias, because even severe cardiotoxicity can occur in certain pharmacokinetic drug-drug interactions. Histamine H1 receptor antagonists (antihistamines) are used in the treatment of allergic disorders. The therapeutic effects of most of the older antihistamines were associated with sedating effects on the central nervous system (CNS) and antimuscarinic effects causing dry mouth and blurred vision. Non-specific ""quinidine-like"" or local anaesthetic actions often led to cardiotoxicity in animals and man. Although such adverse effects varied from drug to drug, there was some degree of sedation with all old antihistamines. Non-sedating antihistamines have become available during the past 15 years. Some of them also have antiserotonin or other actions that oppose allergic inflammation, and they are not entirely free from sedative effects either. In small to moderate ""clinical"" concentrations they are competitive H1 receptor antagonists, although large concentrations of some of them exert non-competitive blockade. Daytime drowsiness and weakness are seldom really important, and they restrict patients' activities less than the old antihistamines. Some new antihistamines share with old antihistamines quinidine-like effects on the cardiac conducting tissues, and clinically significant interactions have raised the question of drug safety. This prodysrhythmic effect has also been briefly mentioned in comparisons of non-sedative H1 antihistamines.",I,E
