pubmedID,title,keywords,authors,abstracts,label1,label2
10071708,Comparative efficacy of olanzapine and haloperidol for patients with treatment-resistant schizophrenia.,"Adult; Akathisia, Drug-Induced; Analysis of Variance; Antipsychotic Agents; Behavioral Symptoms; Benzodiazepines; Chi-Square Distribution; Double-Blind Method; Drug Resistance; Dyskinesia, Drug-Induced; Female; Haloperidol; Humans; Male; Middle Aged; Pirenzepine; Prospective Studies; Schizophrenia; Treatment Outcome","Breier, A; Hamilton, S H","There is relatively little information regarding the efficacy of newer atypical antipsychotic drugs for patients with schizophrenia who are treatment-resistant to neuroleptic agents. Several lines of evidence suggest that a clinical trial of olanzapine in this population is warranted.; A subpopulation of patients (n = 526) meeting treatment-resistant criteria selected from a large, prospective, double-blind, 6-week study assessing the efficacy and safety of olanzapine and haloperidol were examined. Both last-observation-carried-forward (LOCF) and completers (observed cases) analyses were conducted.; Olanzapine demonstrated significantly greater mean improvement from baseline in Positive and Negative Syndrome Scale (PANSS) negative symptoms, comorbid depressive symptoms assessed by the Montgomery-Asberg Depression Rating Scale, akathisia as measured by Barnes Akathisia Scale, and extrapyramidal symptoms as measured by Simpson-Angus Extrapyramidal Rating Scale with both LOCF and completers analyses. In addition, olanzapine was significantly superior to haloperidol for Brief Psychiatric Rating Scale total (p = .006), PANSS total (p = .005), and PANSS positive symptoms (p = .017) in completers of the 6-week study. Significantly greater response rates were observed in olanzapine-treated (47%) than haloperidol-treated (35%) patients in the LOCF analysis (p = .008), but significance was not reached in the completers analysis (p = .093). Mean doses (+/- SD) of olanzapine and haloperidol were 11.1 +/- 3.4 mg/day and 10.0 +/- 3.6 mg/day, respectively.; Olanzapine was superior to haloperidol for key symptom domains and parkinsonian side effects. Implications of these data for the therapeutics of this severely ill subgroup are discussed.",I,I
10071726,A placebo-controlled crossover trial of D-cycloserine added to clozapine in patients with schizophrenia.,"Adult; Antipsychotic Agents; Behavioral Symptoms; Clozapine; Cross-Over Studies; Cycloserine; Double-Blind Method; Drug Interactions; Drug Therapy, Combination; Excitatory Amino Acid Agonists; Female; Humans; Male; Psychiatric Status Rating Scales; Schizophrenia; Treatment Outcome","Goff, D C; Henderson, D C; Evins, A E; Amico, E","D-Cycloserine, a partial agonist at the glycine recognition site of the NMDA receptor, has previously been shown to improve negative symptoms when added to conventional antipsychotics and, in one preliminary dose-finding study, worsened negative symptoms when added to clozapine.; Seventeen schizophrenia outpatients treated with clozapine were assigned in random order to 6-week trials of D-cycloserine 50 mg/day and placebo in a crossover design separated by a 1 week placebo washout.; Eleven patients competed the 13-week study. D-Cycloserine significantly worsened ratings of negative symptoms compared to placebo but did not significantly affect ratings of psychotic symptoms.; The differing effects of D-cycloserine on negative symptoms when added to clozapine compared to conventional antipsychotics suggests that activation of the glycine recognition site may play a role in clozapine's efficacy for negative symptoms.",3,E
10072410,Low-dose clozapine for the treatment of drug-induced psychosis in Parkinson's disease.,"Aged; Antiparkinson Agents; Antipsychotic Agents; Clozapine; Double-Blind Method; Female; Humans; Male; Parkinson Disease; Psychoses, Substance-Induced; Treatment Outcome",NA,"Drug-induced psychosis is a difficult problem to manage in patients with Parkinson's disease. Multiple open-label studies have reported that treatment with clozapine at low doses ameliorates psychosis without worsening parkinsonism.; We conducted a randomized, double-blind, placebo-controlled trial of low doses of clozapine (6.25 to 50 mg per day) in 60 patients at six sites over a period of 14 months. The patients (mean age, 72 years) had idiopathic Parkinson's disease and drug-induced psychosis of at least four weeks' duration. All the patients continued to receive fixed doses of antiparkinsonian drugs during the four weeks of the trial. Blood counts were monitored weekly in all the patients.; The mean dose of clozapine was 24.7 mg per day. The patients in the clozapine group had significantly more improvement than those in the placebo group in all three of the measures used to determine the severity of psychosis. The mean (+/-SE) scores on the Clinical Global Impression Scale improved by 1.6+/-0.3 points for the patients receiving clozapine, as compared with 0.5+/-0.2 point for those receiving placebo (P<0.001). The score on the Brief Psychiatric Rating Scale improved by 9.3+/-1.5 points for the patients receiving clozapine, as compared with 2.6+/-1.3 points for those receiving placebo (P=0.002). The score on the Scale for the Assessment of Positive Symptoms improved by 11.8+/-2.0 points for the patients receiving clozapine, as compared with 3.8+/-1.9 points for those receiving placebo (P=0.01). Seven patients treated with clozapine had an improvement of at least three on the seven-point Clinical Global Impression Scale, as compared with only one patient given placebo. Clozapine treatment improved tremor and had no deleterious effect on the severity of parkinsonism. In one patient, clozapine was discontinued because of leukopenia.; Clozapine, at daily doses of 50 mg or less, is safe and significantly improves drug-induced psychosis without worsening parkinsonism.",I,4
10072418,Managing psychosis in patients with Parkinson's disease.,"Antiparkinson Agents; Antipsychotic Agents; Clozapine; Humans; Parkinson Disease; Psychoses, Substance-Induced; Serotonin Antagonists","Cummings, J L",NA,5,E
10072664,Comparison of risperidone and mosapramine addition to neuroleptic treatment in chronic schizophrenia.,"Adult; Analysis of Variance; Antipsychotic Agents; Behavioral Symptoms; Benzazepines; Chronic Disease; Cross-Over Studies; Drug Therapy, Combination; Humans; Male; Middle Aged; Pilot Projects; Risperidone; Schizophrenia; Single-Blind Method; Time Factors; Treatment Outcome","Takahashi, N; Terao, T; Oga, T; Okada, M","There is little information regarding the effects of risperidone addition to neuroleptic treatment in chronic schizophrenia. As a preliminary study, 10 neuroleptic-treated schizophrenic inpatients received risperidone (high 5HT2A/D2 ratio, i.e. the ratio between 5HT2A and D2 receptor occupancy) and mosapramine (low 5HT2A/D2 ratio) in a randomized, single-blind, crossover, add-on study consisting of 8 weeks of treatment each with risperidone and mosapramine. Although both additions resulted in significant, albeit modest, improvement, there was no significant difference in the scores on the Positive and Negative Syndrome Scale for Schizophrenia between risperidone and mosapramine addition. These results suggest that risperidone and mosapramine bring about comparable effects in add-on design. Thus, risperidone with a high 5HT2A/D2 ratio does not seem to be better than mosapramine with a low 5HT2A/D2 ratio when combined with conventional neuroleptics. Further studies including a large number of patients and a double-blind design are needed.",I,4
10077298,Errorless learning and the cognitive rehabilitation of memory-impaired schizophrenic patients.,Adult; Cognitive Therapy; Female; Humans; Learning; Male; Memory Disorders; Neuropsychological Tests; Schizophrenia; Severity of Illness Index,"O'Carroll, R E; Russell, H H; Lawrie, S M; Johnstone, E C","In recent years, evidence has accumulated that a significant proportion of schizophrenic patients have severe memory impairment, which cannot be attributed to the effects of medication, chronicity or institutionalization. Our group has demonstrated that memory impairment is associated with poor psychosocial outcome and treatment resistance. Work on the classical amnesic syndrome has suggested that memory training is facilitated by adopting an 'errorless learning' approach, where subjects do not experience failure during learning. This is based on the theory that the preserved implicit memory of amnesic patients results in implicitly remembered incorrect responses interfering with target items, in the absence of a functioning explicit memory system to allow differentiation.; We compared three groups of subjects, memory-impaired schizophrenic patients, memory unimpaired schizophrenic patients and healthy controls.; An errorless learning approach conferred a significant advantage on the memory-impaired schizophrenic group, bringing their performance up to the level of both control groups. In contrast, adopting a traditional trial and error, or errorful approach resulted in markedly impaired performance in the memory-impaired schizophrenic group only.; We conclude that errorless learning approaches may be worthy of further evaluation in the cognitive rehabilitation of memory-impaired schizophrenic patients.",5,E
10078501,Predictors of relapse following response from a first episode of schizophrenia or schizoaffective disorder.,Adolescent; Adult; Antipsychotic Agents; Cohort Studies; Female; Fluphenazine; Follow-Up Studies; Hallucinations; Humans; Longitudinal Studies; Magnetic Resonance Imaging; Neuropsychological Tests; Patient Compliance; Pregnancy; Pregnancy Complications; Probability; Psychiatric Status Rating Scales; Psychotic Disorders; Risk Factors; Schizophrenia; Schizophrenic Psychology; Secondary Prevention; Severity of Illness Index; Sex Factors; Treatment Outcome,"Robinson, D; Woerner, M G; Alvir, J M; Bilder, R; Goldman, R; Geisler, S; Koreen, A; Sheitman, B; Chakos, M; Mayerhoff, D; Lieberman, J A","We examined relapse after response to a first episode of schizophrenia or schizoaffective disorder.; Patients with first-episode schizophrenia were assessed on measures of psychopathologic variables, cognition, social functioning, and biological variables and treated according to a standardized algorithm. The sample for the relapse analyses consisted of 104 patients who responded to treatment of their index episode and were at risk for relapse.; Five years after initial recovery, the cumulative first relapse rate was 81.9% (95% confidence interval [CI], 70.6%-93.2%); the second relapse rate was 78.0% (95% CI, 46.5%-100.0%). By 4 years after recovery from a second relapse, the cumulative third relapse rate was 86.2% (95% CI, 61.5%-100.0%). Discontinuing antipsychotic drug therapy increased the risk of relapse by almost 5 times (hazard ratio for an initial relapse, 4.89 [99% CI, 2.49-9.60]; hazard ratio for a second relapse, 4.57 [99% CI, 1.49-14.02]). Subsequent analyses controlling for antipsychotic drug use showed that patients with poor premorbid adaptation to school and premorbid social withdrawal relapsed earlier. Sex, diagnosis, obstetric complications, duration of psychotic illness before treatment, baseline symptoms, neuroendocrine measures, methylphenidate hydrochloride challenge response, neuropsychologic and magnetic resonance imaging measures, time to response of the initial episode, adverse effects during treatment, and presence of residual symptoms after the initial episode were not significantly related to time to relapse.; There is a high rate of relapse within 5 years of recovery from a first episode of schizophrenia and schizoaffective disorder. This risk is diminished by maintenance antipsychotic drug treatment.",I,6
10084637,"Comparison of risperidone and placebo for psychosis and behavioral disturbances associated with dementia: a randomized, double-blind trial. Risperidone Study Group.","Aged; Aged, 80 and over; Aggression; Alzheimer Disease; Antipsychotic Agents; Basal Ganglia Diseases; Dementia; Dementia, Vascular; Dose-Response Relationship, Drug; Double-Blind Method; Drug Administration Schedule; Female; Geriatric Assessment; Humans; Institutionalization; Male; Placebos; Risperidone; Severity of Illness Index; Treatment Outcome","Katz, I R; Jeste, D V; Mintzer, J E; Clyde, C; Napolitano, J; Brecher, M","We report the findings from the first large, double-blind, placebo-controlled study conducted to evaluate the efficacy and safety of risperidone in the treatment of psychotic and behavioral symptoms in institutionalized elderly patients with dementia.; 625 patients (67.8% women; mean age = 82.7 years) with DSM-IV diagnoses of Alzheimer's disease (73%), vascular dementia (15%), or mixed dementia (12%) and significant psychotic and behavioral symptoms were included. Each patient was randomly assigned to receive placebo or 0.5 mg/day, 1 mg/day, or 2 mg/day of risperidone for 12 weeks. The primary outcome measure was the Behavioral Pathology in Alzheimer's Disease rating scale (BEHAVE-AD).; The study was completed by 70% of the patients. Baseline Functional Assessment Staging scores were 6 or 7 in more than 95% of the patients, indicating severe dementia. At endpoint, significantly greater reductions in BEHAVE-AD total scores and psychosis and aggressiveness subscale scores were seen in patients receiving 1 and 2 mg/day of risperidone than in placebo patients (p = .005 and p < .001, respectively). At week 12, 0.5 mg/day of risperidone was superior to placebo in reducing BEHAVE-AD aggression scores (p = .02). More adverse events were reported by patients receiving 2 mg/day of risperidone than 1 mg/day. The most common dose-related adverse events were extrapyramidal symptoms, somnolence, and mild peripheral edema. The frequency of extrapyramidal symptoms in patients receiving 1 mg/day of risperidone was not significantly greater than in placebo patients.; Risperidone significantly improved symptoms of psychosis and aggressive behavior in patients with severe dementia. Results show that 1 mg/day of risperidone is an appropriate dose for most elderly patients with dementia.",I,I
10094133,No evidence for association of serotonin-2A receptor variant (102T/C) with schizophrenia or clozapine response in a Chinese population.,"Adult; Antipsychotic Agents; Asian Continental Ancestry Group; Clozapine; Female; Humans; Male; Mutation; Polymorphism, Genetic; Receptor, Serotonin, 5-HT2A; Receptors, Serotonin; Schizophrenia; Serotonin Antagonists; Taiwan","Lin, C H; Tsai, S J; Yu, Y W; Song, H L; Tu, P C; Sim, C B; Hsu, C P; Yang, K H; Hong, C J","The serotonin hypothesis in schizophrenia had regained interest with the superior efficacy of clozapine in the refractory schizophrenic patients. Among the serotonin receptors, the serotonin 2A (5HT2A) receptor subtype is the most widely studied. Previous studies on the association between a silent mutation polymorphism of the 5HT2A gene (102T/C) and schizophrenia or clozapine response have yielded conflicting findings. Therefore, we investigated whether these genetic variants of the 5HT2A receptor are associated with schizophrenia or with response to clozapine treatment in a Chinese population. Ninety-seven schizophrenic patients and 101 control subjects were included in the study. The receptor variants were found at similar frequencies in schizophrenic patients and healthy control subjects. Also, we did not find the variants to influence the response to clozapine in schizophrenic patients. We suggest that the assessment method of clozapine response and the ethnicity may influence the result.",5,E
10100910,A combined analysis of double-blind studies with risperidone vs. placebo and other antipsychotic agents: factors associated with extrapyramidal symptoms.,"Adolescent; Adult; Aged; Aged, 80 and over; Antiparkinson Agents; Antipsychotic Agents; Child; Dose-Response Relationship, Drug; Double-Blind Method; Dyskinesia, Drug-Induced; Female; Humans; Male; Middle Aged; Risperidone; Schizophrenia; Severity of Illness Index; Time Factors","Lemmens, P; Brecher, M; Van Baelen, B","Combined data from double-blind risperidone studies were used to analyse the severity of extrapyramidal symptoms (EPS) associated with treatment in patients with chronic schizophrenia. Factors associated with maximum EPS severity were increasing risperidone dose (< or = 8 mg/day was similar to placebo), lower baseline EPS scores, and longer duration of psychotic symptoms, particularly in older patients. EPS severity was significantly greater in patients receiving haloperidol or other antipsychotics than in those receiving risperidone (4 to 8 mg/day) or placebo. Antiparkinsonian medications were required by significantly fewer patients treated with risperidone (4 to 8 mg/day) than by patients treated with haloperidol or other antipsychotics. Combined efficacy data showed that 4 to 8 mg/day was also the most efficacious dose range; there was no increase in efficacy with doses over 4 mg/day. Based on these data and post-marketing experience, 4 mg/day is an appropriate initial target dose for most patients with schizophrenia. Higher doses may be appropriate for patients with chronic illness, and lower doses may be appropriate for patients with a first psychotic episode or for elderly patients.",I,5
