pubmedID,title,keywords,authors,abstracts,label1,label2
10023937,Beta-blockers for mild to moderate heart failure.,"Adrenergic beta-Antagonists; Aged; Aged, 80 and over; Animals; Bisoprolol; Heart Failure; Humans; Randomized Controlled Trials as Topic; Severity of Illness Index","Krumholz, H M",NA,I,8
10023943,The Cardiac Insufficiency Bisoprolol Study II (CIBIS-II): a randomised trial.,"Adrenergic beta-Antagonists; Adult; Aged; Aged, 80 and over; Bisoprolol; Death, Sudden, Cardiac; Double-Blind Method; Drug Administration Schedule; Heart Failure; Humans; Male; Middle Aged; Severity of Illness Index; Stroke Volume; Survival Analysis",NA,"In patients with heart failure, beta-blockade has improved morbidity and left-ventricular function, but the impact on survival is uncertain. We investigated the efficacy of bisoprolol, a beta1 selective adrenoceptor blocker in decreasing all-cause mortality in chronic heart failure.; In a multicentre double-blind randomised placebo-controlled trial in Europe, we enrolled 2647 symptomatic patients in New York Heart Association class III or IV, with left-ventricular ejection fraction of 35% or less receiving standard therapy with diuretics and inhibitors of angiotensin-converting enzyme. We randomly assigned patients bisoprolol 1.25 mg (n=1327) or placebo (n=1320) daily, the drug being progressively increased to a maximum of 10 mg per day. Patients were followed up for a mean of 1.3 years. Analysis was by intention to treat.; CIBIS-II was stopped early, after the second interim analysis, because bisoprolol showed a significant mortality benefit. All-cause mortality was significantly lower with bisoprolol than on placebo (156 [11.8%] vs 228 [17.3%] deaths with a hazard ratio of 0.66 (95% CI 0.54-0.81, p<0.0001). There were significantly fewer sudden deaths among patients on bisoprolol than in those on placebo (48 [3.6%] vs 83 [6.3%] deaths), with a hazard ratio of 0.56 (0.39-0.80, p=0.0011). Treatment effects were independent of the severity or cause of heart failure.; Beta-blocker therapy had benefits for survival in stable heart-failure patients. Results should not, however, be extrapolated to patients with severe class IV symptoms and recent instability because safety and efficacy has not been established in these patients.",I,I
10024334,Irbesartan reduces QT dispersion in hypertensive individuals.,"Aged; Amlodipine; Angiotensin Receptor Antagonists; Antihypertensive Agents; Biphenyl Compounds; Double-Blind Method; Electrocardiography; Female; Heart; Humans; Hypertension; Male; Receptors, Angiotensin; Tetrazoles","Lim, P O; Nys, M; Naas, A A; Struthers, A D; Osbakken, M; MacDonald, T M","Angiotensin type 1 receptor antagonists have direct effects on the autonomic nervous system and myocardium. Because of this, we hypothesized that irbesartan would reduce QT dispersion to a greater degree than amlodipine, a highly selective vasodilator. To test this, we gathered electrocardiographic (ECG) data from a multinational, multicenter, randomized, double-blind parallel group study that compared the antihypertensive efficacy of irbesartan and amlodipine in elderly subjects with mild to moderate hypertension. Subjects were treated for 6 months with either drug. Hydrochlorothiazide and atenolol were added after 12 weeks if blood pressure (BP) remained uncontrolled. ECGs were obtained before randomization and at 6 months. A total of 188 subjects (118 with baseline ECGs) were randomized. We analyzed 104 subjects who had complete ECGs at baseline and after 6 months of treatment. Baseline characteristics between treatments were similar, apart from a slight imbalance in diastolic BP (irbesartan [n=53] versus amlodipine [n=51], 99.2 [SD 3. 6] versus 100.8 [3.8] mm Hg; P=0.03). There were no significant differences in BP normalization (diastolic BP <90 mm Hg) between treatments at 6 months (irbesartan versus amlodipine, 80% versus 88%; P=0.378). We found a significant reduction in QT indexes in the irbesartan group (QTc dispersion mean, -11.4 [34.5] milliseconds, P=0.02; QTc max, -12.8 [35.5] milliseconds, P=0.01), and QTc dispersion did not correlate with the change in BP. The reduction in QT indexes with amlodipine (QTc dispersion, -9.7 [35.4] milliseconds, P=0.06; QTc max, -8.6 [33.2] milliseconds, P=0.07) did not quite reach statistical significance, but there was a correlation between the change in QT indexes and changes in systolic BP. In conclusion, irbesartan improved QT dispersion, and this effect may be important in preventing sudden cardiac death in at-risk hypertensive subjects.",E,E
10025200,[Current use of beta-blockers in coronary artery disease].,Adrenergic beta-Antagonists; Adult; Aged; Angina Pectoris; Coronary Disease; Diabetes Mellitus; Female; Heart Failure; Humans; Male; Middle Aged; Retrospective Studies; Risk Factors,"Gullestad, L; Bj酶rnerheim, R; Offstad, J; Endresen, K; Forfang, K; Kjekshus, J; Hansteen, V","This article presents the results of a retrospective analysis of the use of beta-blockers and current dosing of these agents in patients with coronary artery disease. While 70 to 78% of patients admitted to Norwegian university hospitals during 1990-1997 for angiographic evaluation of chest pain used beta-blockers, only 43-60% of patients with stable coronary artery disease enrolled in the 4S study in Norway received such treatment. High risk groups such as diabetics and patients with peripheral artery disease were less likely to receive beta-blockers during the early period, but were not treated differentially compared to low risk patients during recent years. Only 15% of patients with congestive heart failure received oral beta-blockers, and only 10.5% intravenous beta-blockade during acute myocardial infarction. The dosing of the most common beta-blockers were low, approximately 50% of doses shown to improve survival after acute myocardial infarction.",E,E
10026356,QT dispersion in patients with chronic heart failure: beta blockers are associated with a reduction in QT dispersion.,"Adrenergic beta-Antagonists; Aged; Case-Control Studies; Diuretics; Echocardiography, Doppler, Color; Electrocardiography; Female; Heart Failure; Humans; Male; Middle Aged; Regression Analysis; Retrospective Studies; Ventricular Dysfunction, Left","Bonnar, C E; Davie, A P; Caruana, L; Fenn, L; Ogston, S A; McMurray, J J; Struthers, A D","To compare QT dispersion in patients with impaired left ventricular systolic function and in matched control patients with normal left ventricular systolic function.; A retrospective, case-control study with controls matched 4:1 for age, sex, previous myocardial infarction, and diuretic and beta blocker treatment.; A regional cardiology centre and a university teaching hospital.; 25 patients with impaired left ventricular systolic function and 100 patients with normal left ventricular systolic function.; QT and QTc dispersion measured by three methods: the difference between maximum and minimum QT and QTc intervals, the standard deviation of QT and QTc intervals, and the ""lead adjusted"" QT and QTc dispersion.; All measures of QT/QTc dispersion were closely interrelated (r values 0.86 to 0.99; all p < 0.001). All measures of QT and QTc dispersion were significantly increased in the patients with impaired left ventricular systolic function v controls (p < 0.001): 71.9 (6.5) (mean (SEM)) v 46.9 (1.7) ms for QT dispersion, and 83.6 (7.6) v 54.3 (2.1) ms(-1-2) for QTc dispersion. All six dispersion parameters were reduced in patients taking beta blockers (p < 0.05), regardless of whether left ventricular function was normal or impaired-by 9.4 (4.6) ms for QT dispersion (p < 0.05) and by 13.8 (6. 5) ms(-1-2) for QTc dispersion (p = 0.01).; QT and QTc dispersion are increased in patients with systolic heart failure in comparison with matched controls, regardless of the method of measurement and independently of possible confounding factors. beta Blockers are associated with a reduction in both QT and QTc dispersion, raising the possibility that a reduction in dispersion of ventricular repolarisation may be an important antiarrhythmic mechanism of beta blockade.",E,E
10027497,Carvedilol and the Food and Drug Administration approval process: an introduction.,Adrenergic alpha-Antagonists; Adrenergic beta-Antagonists; Carbazoles; Drug Approval; Heart Failure; Humans; Propanolamines; Public Policy; Randomized Controlled Trials as Topic; United States; United States Food and Drug Administration,"Fisher, L D; Moy茅, L A","We discuss briefly the new drug carvedilol (Coreg), a beta-blocker, alpha-blocker, and antioxidant. This drug was developed for congestive heart failure in a series of trials, four in the United States and one in Australia and New Zealand, briefly summarized in this document. We also summarize the classical paradigm of the U.S. Food and Drug Administration (FDA) for drug approval and the FDA's use of advisory committees. This document serves as background to the discussion of carvedilol's approval.",E,E
10027498,Carvedilol and the Food and Drug Administration (FDA) approval process: the FDA paradigm and reflections on hypothesis testing.,Adrenergic alpha-Antagonists; Adrenergic beta-Antagonists; Carbazoles; Drug Approval; Heart Failure; Humans; Propanolamines; Public Policy; Randomized Controlled Trials as Topic; United States; United States Food and Drug Administration,"Fisher, L D","Carvedilol (Coreg), a beta- and alpha-blocker and an antioxidant drug, was evaluated for moderate to severe heart failure patients in a program containing four United States and one Australia/New Zealand study. The data were evaluated twice by the Cardiovascular and Renal Drugs Advisory Committee of the U.S. Food and Drug Administration (FDA). These meetings resulted in opposite decisions by the advisory committee. The crux of the argumentation was the two-positive-trial FDA paradigm. Carvedilol did not meet the usual paradigm because an exercise end point was not statistically different from placebo in three U.S. trials. Most other end points were highly significant, and death, which was monitored across the U.S. program, was different with p < 0.0001. Here we argue that the usual paradigm is very useful but not an absolute principle, that the usual paradigm can sometimes miss the strength of evidence even in the primary end points, and that rational decision making requires on occasion that other evidence must lead to approval. Control of the type I error rate should be taken very seriously, should rarely be violated, and serves the biomedical community well. It is not an absolute principle, however, but rather must be considered in context.",E,E
10027499,End-point interpretation in clinical trials: the case for discipline.,Adrenergic alpha-Antagonists; Adrenergic beta-Antagonists; Carbazoles; Drug Approval; Heart Failure; Humans; Propanolamines; Randomized Controlled Trials as Topic; United States,"Moy茅, L A","The recent submission of a new drug application to the federal Food and Drug Administration (FDA) has led to vigorous discussion concerning the rules of clinical trial conduct. The regulatory importance of prospectively defined end points, long held as a fundamental tenet of well-designed research efforts, and the proper role of alpha-spending functions in clinical trials are current foci of attention. Sound public policy requires that the highest research standards govern statistical analyses to support a new drug application. These research standards should be rooted in the fundamentals of epidemiology and biostatistics, long accepted by clinical trial workers. Also, because the physician-scientists whose research results are disseminated to the community bear considerable responsibility for both that community's protection and the protection of the individual patient, these investigators must provide unambiguous interpretations of type I and type II error rates. This obligation includes clear prospective statements of analysis plans and complete reporting of findings for the prospectively defined endpoints in presentations and in manuscripts. The public health is best served if regulatory agencies continue to join clinical trial workers in repudiating the philosophy of ""sound methodology or a small p-value"" in judging research efforts. Reviewers of new drug applications might best take the tack ""judge first what the investigators set out to do, then judge what else was discovered in an 'exploratory light.'""",E,E
10028936,Total arterial compliance in ambulatory hypertension during selective beta1-adrenergic receptor blockade and angiotensin-converting enzyme inhibition.,"Adrenergic Antagonists; Adult; Angiotensin-Converting Enzyme Inhibitors; Antihypertensive Agents; Aorta; Atenolol; Blood Pressure; Captopril; Cross-Over Studies; Echocardiography, Doppler; Electrocardiography; Female; Humans; Hypertension; Male; Middle Aged; Ventricular Function","Soma, J; Aakhus, S; Dahl, K; Wider酶e, T E; Skjaerpe, T","Aortic root flow and pressure estimates were obtained noninvasively with Doppler echocardiography and calibrated subclavian artery pulse tracing in 30 subjects with ambulatory hypertension in a randomized, crossover study with 4 weeks' treatment and washout periods. Total arterial compliance, assessed by use of a three-element Windkessel model of the arterial tree, increased 42% with atenolol (50-100 mg once daily), and 7% (p = NS) with captopril (25-50 mg twice daily). Atenolol reduced mean arterial pressure by 15%, heart rate by 22%, and cardiac output by 14%, and increased acceleration time of aortic root flow by 17% and stroke volume and ejection time each by 11%. Captopril reduced mean arterial pressure and total peripheral resistance each by 7%. Acceleration time of aortic root flow, ejection time, heart rate, stroke volume, and cardiac output were not significantly changed by captopril. We conclude that total arterial compliance, at the operational blood pressure, increases during selective beta1-adrenergic receptor blockade in subjects with ambulatory hypertension. Although the main mechanism may be a reduction in mean arterial pressure, it should be considered whether reduced heart rate may play an additional role. The nonsignificant increase in total arterial compliance during angiotensin-converting enzyme inhibition may primarily be a consequence of a modest reduction of the mean arterial pressure.",E,E
10030088,[Predictors of readmission in patients with congestive heart failure].,Aged; Female; Heart Failure; Humans; Incidence; Male; Multivariate Analysis; Patient Readmission; Recurrence; Retrospective Studies; Risk Factors,"Castro, P; Bittner, V; Villarroel, L","Repeated hospitalizations among patients (pts) with congestive heart failure (CHF) are common.; This retrospective study was designed to determine predictors of readmission.; ; admitted to University Hospital with a primary diagnosis of CHF between 10/1/94-9/30/95: lived in Jefferson county.; cardiac transplant during study period; major comorbidity (e.g. malignancy, advanced renal failure). Predictors of readmission were determined by stepwise logistic regression analysis and predictor of time to readmission with Cox Proportionate Hazards modeling p < 0.05 was considered statistically significant.; Mean age of the 237 pts was 66.5 yrs; 56% women. Mean left ventricular ejection fraction (LVEF) was 29%; 96% were in NYHA class III/IV. Mean length of stay was 5 days; 52 pts (22%) had > 1 admission. CHF etiologies: Ischemic (42%), hypertensive (37%), idiopathic (12%). Demographic characteristics and insurance status did not predict readmission risk. Predictors of readmission in the logistic and Cox models were similar. Increased risk of readmission was associated with myocardial ischemia (logistic OR 42.7), past NYHA Class III and IV (OR 32.8), plasmatic creatinine at discharge (OR 1.9) and continued smoking (OR 3.26). History of CABG was associated with a decreased risk of rehospitalization (OR 0.12). Beta-blocker use was associated with decreased risk, but did not achieve statistical significance. ACE-I use (prescribed in 78% of pts), did not contribute to the model. Diabetes Mellitus and a lower LVEF were more frequent in the readmitted group, but they did not predict readmission.; CHF pts who have evidence of ischemia, advanced symptoms, renal dysfunction, and who continue to smoke are at increased risk for hospital readmission. Pts with these characteristics should be identified prior to hospital discharge and considered for intensive outpatient intervention.",1,E
