pubmedID,title,keywords,authors,abstracts,label1,label2
10072236,Effect of acute testosterone on myocardial ischemia in men with coronary artery disease.,"Adult; Aged; Coronary Angiography; Coronary Artery Disease; Double-Blind Method; Electrocardiography; Estradiol; Exercise Test; Follow-Up Studies; Humans; Injections, Intravenous; Male; Middle Aged; Myocardial Ischemia; Testosterone; Treatment Outcome","Webb, C M; Adamson, D L; de Zeigler, D; Collins, P","The effect of acute testosterone administration on exercise-induced myocardial ischemia was assessed in 14 men with coronary artery disease and low plasma testosterone concentrations in a study of randomized, double-blind, crossover design. Testosterone increased time to 1-mm ST-segment depression compared with placebo by 66 (15 to 117) seconds (p = 0.016), suggesting a beneficial effect of testosterone on myocardial ischemia in these patients.",E,E
10090424,Oral micronized progesterone.,"Administration, Oral; Animals; Chemistry, Pharmaceutical; Clinical Trials as Topic; Evaluation Studies as Topic; Female; Humans; Postmenopause; Premenopause; Progesterone; Progesterone Congeners","de Ligni猫res, B","This review sought to examine the rationale for selecting an oral micronized progesterone formulation rather than a synthetic progestin for some of the main indications for progestogens. Unopposed estrogen use is associated with a high risk (relative risk, 2.1 to 5.7) of endometrial hyperplasia and adenocarcinoma, and it has been understood for some time that a progestogen must be added for at least 10 to 14 days per month to prevent these effects. However, the most commonly used synthetic progestins, norethisterone and medroxyprogesterone acetate, have been associated with metabolic and vascular side effects (eg, suppression of the vasodilating effect of estrogens) in both experimental and human controlled studies. All comparative studies to date conclude that the side effects of synthetic progestins can be minimized or eliminated through the use of natural progesterone, which is identical to the steroid produced by the corpus luteum. The inconvenience associated with the use of injectable, rectal, or vaginal formulations of natural progesterone can be circumvented by using orally administered micronized progesterone. The bioavailability of micronized progesterone is similar to that of other natural steroids, and interindividual and intraindividual variability of area under the curve is similar to that seen with synthetic progestins. A clear dose-ranging effect has been demonstrated, and long-term protection of the endometrium has been established. Micronized progesterone has been used widely in Europe since 1980 at dosages ranging from 300 mg/d (taken at bedtime) 10 days a month for women wishing regular monthly bleeding to 200 mg 14 days a month or 100 mg 25 days a month for women willing to remain amenorrheic. This therapy is well tolerated, with the only specific side effect being mild and transient drowsiness, an effect minimized by taking the drug at bedtime. The prospective, comparative Postmenopausal Estrogens/Progestin Intervention trial has recommended oral micronized progesterone as the first choice for opposing estrogen therapy in nonhysterectomized postmenopausal women.",E,E
10091204,HRT and Vit D in prevention of non-vertebral fractures in postmenopausal women; a 5 year randomized trial.,"Bone Density; Female; Fractures, Bone; Hormone Replacement Therapy; Humans; Middle Aged; Osteoporosis, Postmenopausal; Prospective Studies; Treatment Outcome; Vitamin D","Komulainen, M H; Kr枚ger, H; Tuppurainen, M T; Heikkinen, A M; Alhava, E; Honkanen, R; Saarikoski, S","We investigated the incidence of new non-vertebral fractures during HRT or low-dose vitamin (Vit) D3 supplementation in a 5-year prospective trial.; A total of 464 early postmenopausal women, (a subgroup of the Kuopio Osteoporosis Study, n = 13,100) were randomized to four groups: (1) HRT, a sequential combination of 2 mg estradiol valerate and 1 mg cyproterone acetate; (2) Vit D (300 IU/day and 100 IU/day during the fifth years); (3) HRT + Vit D; and (4) placebo. Lumbar (L2-4) and femoral neck bone mineral densities (BMD) were determined by dual X-ray absorptiometry (DXA) at baseline, after 2.5 and 5 years of treatment. All new symptomatic non-vertebral, radiographically defined fractures were recorded.; Altogether, 368 women (79%) completed the 5 year treatment. In all, 32 women had 39 non-vertebral fractures during a mean of 4.3 year follow-up (HRT 4, Vit D 10, HRT + Vit D 8 and placebo 17). The reduction in the incidence of new non-vertebral fractures was significant in women with HRT alone (P = 0.032) when adjusted by baseline BMD and previous fractures; observed also with the intention-to-treat principle (P = 0.048). When the HRT groups were pooled, HRT showed a significantly lower incidence of new non-vertebral fractures (P = 0.042) than women receiving placebo and also after adjusting as above (P = 0.016); both in valid-case and in the intention-to-treat analysis. In the Vit D group, the fracture incidence was non-significantly decreased (P = 0.229) in comparison with the placebo group. The estimated risk of new non-vertebral fractures among women treated with HRT alone was 0.29 (95% CI, 0.10-0.90) and with Vit D 0.47 (95% CI, 0.20-1.14) and with HRT + Vit D 0.44 (95% CI, 0.17-1.15), in comparison with the placebo group (adjusted by femoral BMD and previous fractures).; This study is the first prospective trial confirming the beneficial effect of HRT on prevention of peripheral fractures in non-osteoporotic postmenopausal women. The effect of low-dose Vit D remains to be proved.",E,E
10212006,Premenstrual symptoms in women with premenstrual asthma.,Adult; Affect; Area Under Curve; Asthma; Estradiol; Female; Humans; Longitudinal Studies; Lung; Menstrual Cycle; Premenstrual Syndrome,"Ensom, M H; Chong, E; Carter, D","To characterize and compare premenstrual symptoms (mood, physical) throughout two menstrual cycles with and without estradiol administration, in women with premenstrual asthma (PMA), and to examine relationships between asthma symptoms versus premenstrual symptoms and pulmonary function versus premenstrual symptoms in these women.; Open-label, longitudinal, 9-week study (consisting of two complete menstrual cycles).; Clinical study at the University of Kentucky; data analysis at the University of British Columbia and Children's and Women's Health Centre of British Columbia.; Fourteen women (age 35.6 +/- 6.6 yrs) with mild to moderate asthma with a baseline ratio of forced expiratory volume in 1 second:forced vital capacity of 0.72 +/- 0.12.; Women were followed for two complete menstrual cycles. During the second complete cycle (i.e., cycle 3), they received estradiol 2 mg orally between days 23 and 28 (premenstrual).; Throughout both cycles 2 and 3, each subject recorded premenstrual symptom questionnaire scores (15 mood and physical symptoms, graded 0-3) every morning on awakening. Peak expiratory flow rate (PEFR) and visual analog scales of asthma symptoms (cough, wheezing, breathlessness, chest tightness) were recorded daily at the same time. Seven subjects showed a classic pattern of premenstrual symptoms. Four of the five subjects who complained of PMA symptoms at study enrollment also demonstrated this classic pattern of premenstrual symptoms. After estradiol administration, four women had lower symptom scores, eight had higher scores, and two had the same scores. Overall, estradiol had no significant effect on symptoms (mean area under the curve 18.9 +/- 14.8 day(-1) vs 20.3 +/- 14.8 day(-1), p>0.05). Ten subjects had significant relationships between asthma symptoms and premenstrual symptoms, whereas six had significant relationships between PEFR and premenstrual symptoms.; Exogenous estradiol administration had no significant effect on premenstrual symptoms in women with PMA. The lack of a significant effect allows for patient blinding in a placebo-controlled, crossover study of exogenous estradiol in PMA that is currently under way Clinical implications of relationships between asthma symptoms versus premenstrual symptoms and pulmonary function versus premenstrual symptoms may warrant further study.",E,E
10227004,Postmenopausal women without previous or current vasomotor symptoms do not flush after abruptly abandoning estrogen replacement therapy.,"Administration, Cutaneous; Double-Blind Method; Estradiol; Estrogen Replacement Therapy; Female; Follicle Stimulating Hormone; Hot Flashes; Humans; Medroxyprogesterone Acetate; Menstruation-Inducing Agents; Middle Aged; Postmenopause","Hammar, M; Ekblad, S; L枚nnberg, B; Berg, G; Lindgren, R; Wyon, Y","Most but not all women suffer from vasomotor symptoms around menopause. The exact mechanisms behind these symptoms are unknown, but the rate of decline in estrogen concentrations has been suggested to affect the risk of hot flushes.; The objective was to assess whether vasomotor symptoms were induced in women without previous such symptoms, when the women were given combined estradiol and progestagen therapy for 3 months, whereafter therapy was abruptly withdrawn.; After randomization, 40 postmenopausal women without previous or current vasomotor symptoms were treated transdermally with either 50 micrograms/day 17 beta-estradiol or placebo during 14 weeks. During the 13th and 14th weeks, treatment was combined with oral medroxyprogesterone acetate 10 mg/day. Serum estradiol and follicle-stimulating hormone (FSH) concentrations were analysed before and after 12 weeks of therapy. Climacteric symptoms were assessed at the same intervals as well as 8 weeks after the end of therapy.; All women had low pretreatment levels of estradiol and high FSH concentrations. During estradiol therapy estradiol levels increased significantly, whereas FSH only decreased slightly. No woman developed vasomotor symptoms after withdrawal of therapy.; Postmenopausal women without previous or current vasomotor symptoms did not develop such symptoms when estrogen replacement therapy was first instituted and then abruptly stopped. Probably other factors than the rate with which estrogen concentrations decrease determine whether or not a woman will develop vasomotor symptoms. Evidently, estrogens can be prescribed to a woman who has no vasomotor symptoms, without much risk of inducing such symptoms if she decides to abandon therapy, even after 3 months of treatment.",E,E
10372727,Biotransformation of oral dehydroepiandrosterone in elderly men: significant increase in circulating estrogens.,Aged; Androstenedione; Antibody Specificity; Biotransformation; Cross-Over Studies; Dehydroepiandrosterone; Dehydroepiandrosterone Sulfate; Estradiol; Estrogens; Estrone; Humans; Hydrocortisone; Male; Middle Aged; Radioimmunoassay,"Arlt, W; Haas, J; Callies, F; Reincke, M; H眉bler, D; Oettel, M; Ernst, M; Schulte, H M; Allolio, B","The most abundant human steroids, dehydroepiandrosterone (DHEA) and its sulfate ester DHEAS, may have a multitude of beneficial effects, but decline with age. DHEA possibly prevents immunosenescence, and as a neuroactive steroid it may influence processes of cognition and memory. Epidemiological studies revealed an inverse correlation between DHEAS levels and the incidence of cardiovascular disease in men, but not in women. To define a suitable dose for DHEA substitution in elderly men we studied pharmacokinetics and biotransformation of orally administered DHEA in 14 healthy male volunteers (mean age, 58.8 +/- 5.1 yr; mean body mass index, 25.5 +/- 1.5 kg/m2) with serum DHEAS concentrations below 4.1 micromol/L (1500 ng/mL). Diurnal blood sampling was performed on 3 occasions in a single dose, randomized, cross-over design (oral administration of placebo, 50 mg DHEA, or 100 mg DHEA). The intake of 50 mg DHEA led to an increase in serum DHEAS to mean levels of young adult men, whereas 100 mg DHEA induced supraphysiological concentrations [placebo vs. 50 mg DHEA vs. 100 mg DHEA; area under the curve (AUC) 0-12 h (mean +/- SD) for DHEA, 108 +/- 22 vs. 252 +/- 45 vs. 349 +/- 72 nmol/L x h; AUC 0-12 h for DHEAS, 33 +/- 9 vs. 114 +/- 19 vs. 164 +/- 36 micromol/L x h]. Serum testosterone and dihydrotestosterone remained unchanged after DHEA administration. In contrast, 17beta-estradiol and estrone significantly increased in a dose-dependent manner to concentrations still within the upper normal range for men [placebo vs. 50 mg DHEA vs. 100 mg DHEA; AUC 0-12 h for 17beta-estradiol, 510 +/- 198 vs. 635 +/- 156 vs. 700 +/- 209 pmol/L x h (P < 0.0001); AUC 0-12 h for estrone, 1443 +/- 269 vs. 2537 +/- 434 vs. 3254 +/- 671 pmol/L x h (P < 0.0001)]. In conclusion, 50 mg DHEA seems to be a suitable substitution dose in elderly men, as it leads to serum DHEAS concentrations usually measured in young healthy adults. The DHEA-induced increase in circulating estrogens may contribute to beneficial effects of DHEA in men.",E,E
10375338,"The effect of low-dose continuous estrogen and progesterone therapy with calcium and vitamin D on bone in elderly women. A randomized, controlled trial.","Aged; Alkaline Phosphatase; Analysis of Variance; Biomarkers; Bone Density; Calcium; Creatinine; Dietary Supplements; Estrogen Replacement Therapy; Estrogens, Conjugated (USP); Female; Humans; Hydroxyproline; Medroxyprogesterone; Osteocalcin; Osteoporosis, Postmenopausal; Vitamin D","Recker, R R; Davies, K M; Dowd, R M; Heaney, R P","Hormone replacement therapy (HRT), the mainstay of osteoporosis prevention, is limited because of dose-related risks, side effects, and patient acceptance. The bone-sparing efficacy and tolerability of the lowest available doses of HRT have not been adequately studied in elderly women.; To determine the bone-sparing effect of continuous low-dose HRT in elderly women.; Randomized, double-blind, placebo-controlled trial.; University osteoporosis research and clinical center.; 128 healthy white women (age > 65 years) with low bone mass recruited by word of mouth and by local advertisement. The principal eligibility criterion was spinal bone mineral density of 0.90 g/cm2 or less.; Continuous therapy with conjugated equine estrogen, 0.3 mg/d, and medroxyprogesterone, 2.5 mg/d, or matching placebo. Sufficient calcium supplementation was given to bring all calcium intakes above 1000 mg/d in both groups; supplemental oral 25-hydroxyvitamin D was given to maintain serum 25-hydroxyvitamin D levels of at least 75 nmol/L in both groups.; Bone mineral density of the spine, hip, total body, and forearm; serum total alkaline phosphatase and serum osteocalcin levels at 6-month intervals; and 24-hour urine creatinine and hydroxyproline excretion at baseline, 12 months, and 42 months.; During 3.5 years of observation, spinal bone mineral density increased by 3.5% (P < 0.001) in an intention-to-treat analysis and by 5.2% among patients with greater than 90% adherence to therapy. Significant increases were seen in total-body and forearm bone density (P < 0.01). Symptoms related to HRT (breast tenderness, spotting, pelvic discomfort, and mood changes) were mild and short-lived.; Continuous low-dose HRT with conjugated equine estrogen and oral medroxyprogesterone combined with adequate calcium and vitamin D provides a bone-sparing effect that is similar or superior to that provided by other, higher-dose HRT regimens in elderly women. This combination is well tolerated by most patients.",I,I
10399774,"Cognitive and neuroendocrine response to transdermal estrogen in postmenopausal women with Alzheimer's disease: results of a placebo-controlled, double-blind, pilot study.","Administration, Cutaneous; Aged; Aged, 80 and over; Alzheimer Disease; Climacteric; Double-Blind Method; Estradiol; Estrogen Replacement Therapy; Estrone; Female; Humans; Insulin-Like Growth Factor Binding Protein 3; Insulin-Like Growth Factor I; Mental Recall; Neuropsychological Tests; Norepinephrine; Pilot Projects; Verbal Learning","Asthana, S; Craft, S; Baker, L D; Raskind, M A; Birnbaum, R S; Lofgreen, C P; Veith, R C; Plymate, S R","Preliminary evidence from clinical studies indicates that treatment with estrogen augments cognitive function for women with Alzheimer's disease (AD). The neurobiology of estrogen, particularly its neuromodulatory and neuroprotective actions, provide a viable basis to support such cognition-enhancing effects. We conducted a placebo-controlled, double-blind, parallel-group design pilot clinical study to evaluate the cognitive and neuroendocrine response to estrogen administration for postmenopausal women with AD. Twelve women with probably AD of mild-moderate severity completed the study. During an eight week treatment period, six women received 0.05 mg/day dosage of 17 beta-estradiol via a skin patch and the remaining six wore a placebo skin patch. Subjects were randomized to equal distribution, and evaluated at baseline, at weeks 1, 3, 5, and 8 on treatment, and at weeks 9, 10, 11, and 13 off treatment. On each day of evaluation, cognition was assessed using a battery of neuropsychological tests, and blood samples were collected to measure plasma concentrations of estradiol and estrone. In addition, several neuroendocrine markers were measured in plasma to evaluate the relationship between estrogen-induced cognitive effects and fluctuations in the catecholaminergic and insulin-like growth factor systems. Significant effects of estrogen treatment were observed on attention (i.e. Stroop: number of self-corrections in the Interference condition, F[1,8] = 8.22, P < 0.03) and verbal memory (i.e., Buschke: delayed cued recall, F[3,30] = 4.31, P < 0.02). The salutary effects of estrogen on cognition were observed after the first week of treatment, and started to diminish when treatment was terminated. For women treated with estrogen, enhancement in verbal memory was positively correlated with plasma levels of estradiol (r = 0.96, P < 0.02) and negatively correlated with concentrations of insulin-like growth factor binding protein-3 (IGFBP-3) in plasma (r = -0.92, P < 0.03). Furthermore, a trend in the data was evident to suggest a negative relationship between plasma levels of insulin-like growth factor-1 (IGF-1) and verbal memory (r = -0.86, P = 0.06). Estrogen administration suppressed peripheral markers of the IGF system, as evidenced by a negative correlation between plasma concentration of estradiol and IGF-1 (r = -0.93, P < 0.03), and a trend for a similar relationship between plasma levels of estradiol and IGFBP-3 (r = -0.86, P = 0.06). With respect to the catecholamines assayed, norepinephrine was positively correlated with verbal memory (r = 0.95, P < 0.02) for women who were treated with estrogen. Furthermore, there was a trend to suggest a negative relationship between plasma epinephrine levels and the number of errors committed on a test of attention (r = -0.84, P = 0.07). In the placebo group, no significant effects of estrogen replacement were evident either on measures of cognition or on any of the neuroendocrine markers. The results of this study suggest that estrogen replacement may enhance cognition for postmenopausal women with AD. Furthermore, several markers of neuroendocrine activity may serve to index the magnitude of estrogen-induced facilitation on cognition. In addition, research findings from the present study will provide important information for the design of larger prospective clinical studies that are essential to definitively establish the therapeutic role of estrogen replacement for postmenopausal women with AD.",E,E
10408073,[The effects of hormone replacement therapy on ovarian function in premenopausal women after hysterectomy].,"Adult; Dehydroepiandrosterone; Dyspareunia; Estradiol; Estrogen Replacement Therapy; Female; Follicle Stimulating Hormone; Hot Flashes; Humans; Hysterectomy; Luteinizing Hormone; Middle Aged; Ovary; Patient Satisfaction; Postoperative Care; Premenopause; Prospective Studies; Sleep Wake Disorders; Statistics, Nonparametric; Testosterone","Kuckatz, C; Eicher, W; Klinga, K; Mueck, A O","Examining the consequences of temporary postoperative hormone replacement therapy following hysterectomy for the function of the ovaries and the subjective well-being of women.; Hormone profiles (Estradiol, FSH, LH, Testosterone, DHEA) and typical estradiol deficiency phenomena were investigated prospectively in premenopausal hysterectomized women with intact ovaries. Group 1 (n = 21) was replaced transdermally following surgery for 3 weeks with estradiol patch 0.05 mg daily. Group 2 (n = 21) got no hormones.; Group 1 had a remarkable decrease of estradiol after 10 days to 59% and after 6 weeks to 71% of the starting point. Gonadotropins showed an increase in this group. In group 2 without replacement there was only a small decrease of estradiol after 10 days and after 6 weeks the level was higher than before hysterectomy. Testosterone also decreased in group 1 to 64% of the level before surgery after 6 weeks, whereas in the comparing group it was 87%. On the other hand in group 1 only 2 of 21 women, but 10 of 21 in group 2 showed climacteric-like symptoms.; HRT over 3 weeks induces ovarian suppression, which is still seen 6 weeks after hysterectomy. But hormonally treated women have clearly less subjective complaints.",E,E
10430010,Local treatment of urogenital atrophy with an estradiol-releasing vaginal ring: a comparative and a placebo-controlled multicenter study. Vaginal Ring Study Group.,Adult; Aged; Atrophy; Double-Blind Method; Drug Delivery Systems; Estradiol; Estrogen Replacement Therapy; Female; Female Urogenital Diseases; Humans; Menopause; Middle Aged; Patient Satisfaction; Pessaries; Treatment Outcome,"Casper, F; Petri, E","Local estrogen substitution has been shown to be more appropriate than any systemic application for the treatment of urogenital symptoms of hormone deficiency. The efficacy, safety and acceptability of a new low-dose drug delivery system consisting of an estradiol-releasing silicone vaginal ring was studied in two multicenter trials. In an open-label comparative trial a total of 219 postmenopausal women were randomized to the estradiol-releasing vaginal ring or to estriol suppositories. In terms of efficacy both treatment arms were shown to be equivalent; however, significantly higher rates of acceptability were found for the vaginal ring. In a double-blinded placebo-controlled study a total of 84 patients were randomized to either treatment arm for a period of 24 weeks. The statistically significant improvement of the vaginal epithelial pH and maturation values demonstrated the efficacy of the estradiol-releasing vaginal ring compared to the placebo ring.",E,E
