pubmedID,title,keywords,authors,abstracts,label1,label2
10203431,Quality of life in arthritis patients using nonsteroidal anti-inflammatory drugs.,"Aged; Anti-Inflammatory Agents, Non-Steroidal; Anti-Ulcer Agents; Arthritis; Female; Humans; Male; Middle Aged; Omeprazole; Peptic Ulcer; Quality of Life","Wiklund, I","Arthritis is a painful and disabling condition. To suppress the pain and the inflammatory process, patients are often chronic nonsteroidal anti-inflammatory drug (NSAID) users. Chronic use of NSAIDs may induce peptic ulcer, dyspeptic problems and heartburn. Therefore, these patients are often provided with treatment to relieve and/or protect against gastrointestinal problems. Rheumatic disorders also affect a range of health-related quality of life domains. In one study, patients with NSAID-associated gastroduodenal lesions complained about lack of energy, sleep disturbances, emotional distress and social isolation in addition to pain and mobility limitations. The degree of distress and dysfunction differed markedly from scores in an unselected population. Clinical trial data suggest that acid-suppressing therapy with omeprazole is superior to therapy with misoprostol and ranitidine in healing gastroduodenal lesions and preventing abdominal pain, heartburn and indigestion symptoms during continued NSAID treatment. Because arthritic patients are severely incapacitated by their condition regarding most aspects of health-related quality of life, it is important to offer a treatment that is effective in healing and preventing NSAID-induced ulcers and gastrointestinal symptoms during continued NSAID treatment without further compromising the patients' quality of life. Treatment with omeprazole once daily has been shown to be superior to that with ranitidine and misoprostol in this respect.",E,E
10234601,The safety profile of nonprescription ibuprofen in multiple-dose use: a meta-analysis.,"Adult; Aged; Anti-Inflammatory Agents, Non-Steroidal; Drug Administration Schedule; Female; Gastrointestinal Diseases; Humans; Ibuprofen; Male; Middle Aged; Randomized Controlled Trials as Topic","Kellstein, D E; Waksman, J A; Furey, S A; Binstok, G; Cooper, S A","A meta-analysis was performed to compare the incidence of adverse experiences (AEs) during the multiple-dose use of nonprescription ibuprofen to a placebo. Eight studies, with doses ranging from 800 to 1200 mg/day and durations of 1 to 10 days, met the criteria for inclusion. AEs were classified according to COSTART, except that ""abdominal pain"" was conservatively reassigned to the digestive system. In each study, the overall AE frequency among ibuprofen-treated subjects (n = 1094) was numerically less than or equal to the placebo (n = 1093). Pooled across all studies, placebo subjects reported AEs significantly (p = 0.018) more often (31.7%) than ibuprofen subjects (27.4%). The frequency of digestive system AEs was comparable (p = 0.420) for the placebo (11.0%) and ibuprofen (12.1%); there was no significant difference for any specific digestive system AE. AE frequency in the ""body-as-a-whole"" category was significantly higher (p < 0.001) in the placebo (20.4%) than in ibuprofen (14.8%). The number of severe AEs in all of these categories was lower for ibuprofen than for the placebo. These data indicate that nonprescription ibuprofen has an excellent side effect profile in multiple-dose use, with a frequency of gastrointestinal AEs comparable to a placebo.",I,5
10325662,Ankylosing spondylitis: what is the optimum duration of a clinical study? A one year versus a 6 weeks non-steroidal anti-inflammatory drug trial.,"Adult; Anti-Inflammatory Agents, Non-Steroidal; Double-Blind Method; Female; Humans; Male; Middle Aged; Patient Compliance; Piroxicam; Prospective Studies; Spondylitis, Ankylosing; Thiazines; Thiazoles; Treatment Outcome","Dougados, M; Gueguen, A; Nakache, J P; Velicitat, P; Veys, E M; Zeidler, H; Calin, A","To consider the relevance of the duration of a clinical trial in ankylosing spondylitis: long-term (i.e. 1 yr) vs short-term (i.e. 6 weeks) assessment of a non-steroidal anti-inflammatory drug (NSAID)-placebo controlled study.; The design was a prospective, multicentre, double-blind, placebo-controlled study of 6 weeks duration with a 12 months double-blind extension. Study drugs were placebo (n = 121) or active NSAID (n = 352). A decrease of at least 50% in pain and/or global assessment and/or functional impairment during the study defined the response to treatment. The percentage of patients discontinuing the study drug over time (life table analysis) permitted the evaluation of both the efficacy and toxicity.; Among the 473 recruited patients, the percentage of responders was similar at 1 yr and week 6 with a highly statistically significant difference in favour of the active NSAID groups when compared to placebo (at 1 yr, 17% in the placebo group vs 37, 50 and 43% in the piroxicam 20 mg, meloxicam 15 mg and meloxicam 22.5 mg, respectively, for the patient's overall assessment) without any statistically significant difference between the three active groups. However, evaluation of the patients discontinuing the study drug during the 1 yr of the study permitted the detection of a statistically significant difference between the active NSAID groups. A lower percentage of patients taking meloxicam 22.5 mg had to discontinue the study drug when compared to either meloxicam 15 mg or piroxicam 20 mg (37% vs 53% and 53%, respectively, P < 0.05). By 52 weeks, drug-related upper gastrointestinal adverse events occurred in 13, 32, 20 and 18% in the placebo, piroxicam 20 mg, meloxicam 15 mg and meloxicam 22.5 mg groups, respectively. Some of the adverse events occurred only after week 6.; This study suggests that a 1 yr trial might be of optimum value compared to a 6 week assessment in order to define better the efficacy and tolerability of NSAIDs in ankylosing spondylitis.",E,E
10369404,"Comparative efficacy and safety of nimesulide and diclofenac in patients with acute shoulder, and a meta-analysis of controlled studies with nimesulide.","Acute Disease; Adult; Anti-Inflammatory Agents, Non-Steroidal; Bursitis; Cyclooxygenase 2; Cyclooxygenase 2 Inhibitors; Cyclooxygenase Inhibitors; Diclofenac; Double-Blind Method; Female; Humans; Isoenzymes; Male; Membrane Proteins; Middle Aged; Prostaglandin-Endoperoxide Synthases; Shoulder Joint; Sulfonamides; Tendinopathy; Treatment Outcome","Wober, W","Adverse events, particularly gastrointestinal, partially offset the therapeutic value of NSAIDs. The abilities of nimesulide to inhibit COX-2 preferentially and to exert other novel anti-inflammatory actions are consistent with good efficacy and safety. This is borne out by a double-blind multicentre comparison of nimesulide and diclofenac in 122 patients with acute shoulder, and by a meta-analysis of various nimesulide trials. At the end of the 14 day double-blind study, nimesulide was at least as effective as diclofenac (investigator ratings: good/very good in 79.0% of patients given nimesulide, and 78.0% with diclofenac; patient ratings: good/very good in 82.3 and 78.0% respectively). Four patients (6.5%) dropped out in the nimesulide group (two early recovery, one lack of effect, one adverse event), compared with 13 (21.7%) in the diclofenac group, due mainly to adverse events (P=0.003). Global tolerability was judged by the investigators to be good/very good in 96.8% of the nimesulide group compared with 72.9% of those given diclofenac. Judgements by the patients were 96.8 and 78.0% respectively. Both differences are highly significant statistically. The meta-analysis demonstrates that nimesulide given for 2 weeks is far more efficacious than placebo in treating osteoarthritis, and is at least comparable to other NSAIDs The benefit-risk ratio for nimesulide was better in all individual studies since 100 mg nimesulide twice daily was about equal to placebo in safety and tolerability, especially regarding gastrointestinal adverse events.",I,3
10369405,"Economic comparison of nimesulide and diclofenac, and the incidence of adverse events in the treatment of rheumatic disease in Greece.","Ambulatory Care; Anti-Inflammatory Agents, Non-Steroidal; Cost-Benefit Analysis; Cyclooxygenase Inhibitors; Diclofenac; Gastrointestinal Diseases; Greece; Hospitalization; Humans; Incidence; Rheumatic Diseases; Sulfonamides","Liaropoulos, L","In Greece a 15-day treatment of rheumatic disease with diclofenac costs 56% more than treatment with nimesulide. This is due to the lower incidence of gastrointestinal adverse events with nimesulide, and the absence of serious gastrointestinal complications leading to hospitalization, which more than offset the higher acquisition cost of nimesulide. The average saving by using nimesulide instead of diclofenac is about US$21 per patient for a 15-day treatment period.",E,E
10380773,Occurrence of allergic conditions in asthmatics with analgesic intolerance.,"Adult; Anti-Bacterial Agents; Anti-Inflammatory Agents, Non-Steroidal; Aspirin; Asthma; Drug Hypersensitivity; Female; Food Hypersensitivity; Humans; Immunoglobulin E; Male; Metals; Middle Aged; Skin Tests; Urticaria","Kalyoncu, A F; Karakaya, G; Sahin, A A; Bari艧, Y I","The study aimed to determine whether allergic conditions accompany analgesic intolerance.; A total of 132 analgesic-intolerant patients with bronchial asthma admitted to the adult allergy unit from January 1991 to October 1997 and 103 patients with bronchial asthma randomly selected from among the asthmatics referred to our department between January and October 1997 were enrolled in the study. Those having analgesic intolerance and bronchial asthma were accepted as group I; patients having only asthma were accepted as group II. A standard questionnaire was completed for all the patients. Physical examination, routine skin prick tests, determination of total IgE levels and blood type, and oral analgesic provocation tests were also performed.; The results showed that some allergic conditions were significantly more common in group I (22.7% and 7.8% for food allergy/intolerance [P<0.05], 16.7% and 7.8% for antibiotic allergy, 16.7% and 2.9% for dermographism, 9.8% and 1.0% for metal allergy, and 9.1% and 1.0% for chronic urticaria for groups I and II, respectively [P<0.001]). In addition, the mean of the total IgE level in the serum was higher in group I than group II (77.6 and 53.7 IU/ml; P<0.05), and the cumulative analgesic consumption was more in group I (14.2+/-17.1 and 9.1+/-12.5 boxes; P<0.05).; Dermographism; chronic urticaria; antibiotic, metal, and food allergy; high levels of total IgE; and a high amount of cumulative analgesic consumption may be the conditions accompanying analgesic intolerance in asthmatics.",3,E
10383505,Specific inhibition of cyclooxygenase-2 with MK-0966 is associated with less gastroduodenal damage than either aspirin or ibuprofen.,"Adolescent; Adult; Anti-Inflammatory Agents, Non-Steroidal; Aspirin; Cyclooxygenase 2; Cyclooxygenase 2 Inhibitors; Cyclooxygenase Inhibitors; Double-Blind Method; Duodenal Ulcer; Enzyme Inhibitors; Female; Humans; Ibuprofen; Isoenzymes; Lactones; Male; Membrane Proteins; Middle Aged; Prostaglandin-Endoperoxide Synthases; Stomach Ulcer; Sulfones; Thromboxanes","Lanza, F L; Rack, M F; Simon, T J; Quan, H; Bolognese, J A; Hoover, M E; Wilson, F R; Harper, S E","Compared with currently available NSAIDs (which inhibit COX-1 and COX-2 isoforms of cyclooxygenase), MK-0966 (a specific COX-2 inhibitor) is expected to cause less gastrointestinal toxicity.; To compare the effect on the upper gastrointestinal mucosae of a high dose of MK-0966 with that of conventional doses of ibuprofen and aspirin.; Healthy subjects (n = 170; age range 18-54 years) with endoscopically normal gastric and duodenal mucosa were randomized to either MK-0966 250 mg q.d. (n = 51), ibuprofen 800 mg t.d.s. (n = 51), aspirin 650 mg q.d.s. (n = 17), or placebo (n = 51) in this 7-day, double-blind, parallel-group study. The mucosae were evaluated by endoscopy using a predefined scale; scores could range from 0 to 4. The primary end-point was the percentage of subjects who developed a mucosal score >/= 2 (i.e. the development of one or more erosions). To evaluate COX-1 activity, serum thromboxane B2 levels were determined in a subset of the population.; The percentage of subjects who developed a mucosal score >/= 2 in the MK-0966 group (12%) was significantly lower (P < 0.001) than that in the ibuprofen (71%) and aspirin (94%) groups, and was similar to that in the placebo group (8%). Only ibuprofen and aspirin significantly (P < 0.0001) reduced baseline thromboxane B2 levels. All treatments were generally well tolerated.; In this acute short-term endoscopic study, MK-0966 250 mg q.d. (a dose at least 10 times higher than that demonstrated to reduce the signs and symptoms of osteoarthritis) produced significantly less gastrointestinal mucosal damage than either ibuprofen 800 mg t.d.s. or aspirin 650 mg q.d.s. and was comparable to placebo in this regard.",4,E
10440619,"Analgesic efficacy of the cyclooxygenase-2-specific inhibitor rofecoxib in post-dental surgery pain: a randomized, controlled trial.","Adolescent; Adult; Analgesics, Non-Narcotic; Cyclooxygenase 2; Cyclooxygenase 2 Inhibitors; Cyclooxygenase Inhibitors; Double-Blind Method; Female; Humans; Ibuprofen; Isoenzymes; Lactones; Male; Membrane Proteins; Molar, Third; Pain, Postoperative; Placebos; Prostaglandin-Endoperoxide Synthases; Substrate Specificity; Sulfones; Tooth Extraction","Morrison, B W; Christensen, S; Yuan, W; Brown, J; Amlani, S; Seidenberg, B","Previous data have suggested that rofecoxib, a cyclooxygenase (COX)-2-specific inhibitor, had analgesic effects similar to those of the nonsteroidal anti-inflammatory drugs when tested in the post-dental surgery pain model. The objective of this parallel-group, double-masked, randomized, placebo- and active comparator-controlled clinical trial was to assess more fully the analgesic efficacy of rofecoxib in the treatment of postoperative dental pain. After dental surgery, 151 patients (50.3% women; mean age, 18.3 years; 93.4% white) experiencing moderate-to-severe pain were to receive a single dose of placebo, rofecoxib 50 mg, or ibuprofen 400 mg. Analgesic efficacy was assessed for up to 24 hours postdose using self-administered questionnaires. Tolerability was assessed using spontaneous reports of adverse experiences, physical findings, and laboratory measurements. The results of this study demonstrated that rofecoxib 50 mg was more effective than placebo on all measures of analgesic efficacy. Rofecoxib 50 mg exhibited overall analgesic effects, onset of analgesia, and peak analgesic effects that were not significantly different from those of ibuprofen 400 mg, with a significantly longer duration of action (P < 0.05). We concluded that rofecoxib was efficacious in the treatment of postoperative dental pain and that COX-2-derived prostanoids play a role in treatment of the pain associated with dental surgery.",4,E
10485502,Efficacy and tolerability of the specific cyclooxygenase-2 inhibitor DFP compared with naproxen sodium in patients with postoperative dental pain.,"Adult; Cyclooxygenase 2; Cyclooxygenase 2 Inhibitors; Cyclooxygenase Inhibitors; Double-Blind Method; Female; Humans; Isoenzymes; Isoflurophate; Male; Membrane Proteins; Naproxen; Pain, Postoperative; Prostaglandin-Endoperoxide Synthases; Protease Inhibitors; Time Factors; Tooth Extraction","Gottesdiener, K; Mehlisch, D R; Huntington, M; Yuan, W Y; Brown, P; Gertz, B; Mills, S","DFP [3-(2-propyloxy)-(4-methyl-sulfonylphenyl)-(5,5-dimethyl)-fu ranone] is a highly specific cyclooxygenase-2 inhibitor (>2500-fold selective in transfected Chinese hamster ovary cell assays) that has demonstrated efficacy in preclinical models of pain and inflammation. The present single-dose, randomized, double-masked, double-dummy, placebo-controlled, parallel-group study was undertaken to compare DFP 5, 25, and 50 mg with naproxen sodium 550 mg and with placebo in 196 patients (mean age, 25.8 years; 187 [95.4%] males) who experienced moderate-to-severe pain after surgical removal of > or =2 third molars. Overall analgesic effect, duration of effect, time to onset of analgesic effect, peak analgesic effect, and tolerability were assessed over a 24-hour postdose period. Both DFP 25 and 50 mg, as well as the active comparator, naproxen sodium 550 mg, were significantly more effective than placebo. The onset of analgesic effect in the DFP 25-mg, DFP 50-mg, and naproxen sodium 550-mg groups did not differ significantly. DFP was generally well tolerated in single doses up to 50 mg. DFP 50 mg was efficacious in the treatment of postoperative dental pain and was indistinguishable from the active comparator, naproxen sodium 550 mg.",3,E
10491346,Non-steroidal anti-inflammatory drugs and renal response to exercise: a comparison of indomethacin and nabumetone.,"Adult; Anti-Inflammatory Agents, Non-Steroidal; Butanones; Epinephrine; Exercise; Hemodynamics; Humans; Indomethacin; Kidney; Male; Norepinephrine; Oxygen Consumption; Prostaglandins; Urodynamics","Olsen, N V; Jensen, N G; Hansen, J M; Christensen, N J; Fogh-Andersen, N; Kanstrup, I L","Nabumetone, a newer non-steroidal anti-inflammatory drug (NSAID) which preferentially blocks cyclo-oxygenase-2 activity, may be less nephrotoxic than indomethacin. This study tested whether nabumetone has effects different from those of indomethacin on exercise-induced changes in renal function and the renin-aldosterone system. In a randomized fashion, ten subjects were studied after indomethacin (100 mg), nabumetone (1 g) or no medication (control) administered orally at 22.00 hours on the day before each study day, and again at 8.00 hours upon arrival at the laboratory. Renal function was studied at baseline, during graded 20-min exercise sessions at 25%, 50% and 75% of the maximal oxygen uptake rate, and subsequently during two 1-h recovery periods. Heart rate, arterial blood pressure, cardiac output and plasma catecholamines at rest and during exercise were not altered by indomethacin or nabumetone. Indomethacin decreased urinary rates of excretion of 6-oxo-prostaglandin F(1alpha) (6-oxo-PGF(1alpha)) and thromboxane B(2) in all study periods. Nabumetone decreased 6-oxo-PGF(1alpha) excretion during and after exercise. Excretion rates for PGE(2) did not change. Neither indomethacin nor nabumetone changed baseline values or exercise-induced decreases in renal plasma flow or glomerular filtration rate. Indomethacin, but not nabumetone, decreased sodium excretion, urine flow rate and free water clearance. The renal response to exercise, however, remained unchanged. In contrast with nabumatone, indomethacin decreased the plasma renin concentration. Thus, during exercise, nabumetone may decrease the excretion of 6-oxo-PGF(1alpha) by inhibition of cyclo-oxygenase-1 or by inhibition of specific exercise-induced activation of cyclo-oxygenase-2, or both. None of the drugs changed the renal response to exercise. Inhibition by indomethacin of angiotensin II and thromboxane A(2) synthesis may, during exercise, counterbalance renal vasoconstriction caused by blockade of vasodilatory prostaglandins.",E,E
