pubmedID,title,keywords,authors,abstracts,label1,label2
10021952,Bupivacaine 0.125% produces motor block and weakness with fentanyl epidural analgesia in children.,"Adolescent; Analgesia, Epidural; Analgesics, Opioid; Anesthetics, Local; Bupivacaine; Child; Child, Preschool; Double-Blind Method; Female; Fentanyl; Follow-Up Studies; Humans; Infant; Injections, Epidural; Leg; Male; Motor Neurons; Muscle Weakness; Nerve Block; Pain Measurement; Prospective Studies; Urogenital Surgical Procedures","Carr, A S; Fear, D W; Sikich, N; Bissonnette, B","Epidural infusions of fentanyl (2 micrograms.ml-1) alone or combined with bupivacaine 0.125% were compared for perioperative analgesia, motor block and other side-effects in children who underwent urological surgery.; In a prospective, double-blind study, 42 children, ASA I-II, 1-16 yr, were randomly allocated to receive either epidural F (fentanyl bolus 2 micrograms.kg-1 in 0.5 ml.kg-1 saline followed by 2 micrograms.ml-1 fentanyl infusion) or epidural F-B (fentanyl bolus 2 micrograms.kg-1 in 0.5 ml.kg-1 bupivacaine 0.25% followed by 2 micrograms.ml-1 fentanyl infusion in bupivacaine 0.125%) after induction of general anaesthesia. Adequacy of analgesia, lower limb motor block and side-effects were assessed four hourly postoperatively.; Both infusion regimens provided excellent analgesia (median objective pain scores = 0). Epidural infusion rates were similar in the F (0.29 +/- 0.07 ml.kg-1.hr-1) and F-B (0.26 +/- 0.05 ml.kg-1.hr-1) groups. Three children in the F group and all children in the F-B group developed lower limb weakness. (P < 0.05) Bromage scores were different in the F group (median 0, range 0-0.66) compared with the F-B group (median 0.33, range 0-1) (P < 0.001). Other side-effects did not differ.; Postoperative epidural fentanyl infusion provides equipotent analgesia to administration of a solution including both fentanyl and bupivacaine 0.125% and causes less lower limb weakness. No reduction in the fentanyl requirement resulted from the addition of bupivacaine 0.125%.",E,E
10025691,Chronic pain after spinal cord injury: a survey of practice in UK spinal injury units.,Chronic Disease; Hospital Departments; Humans; Pain; Pain Management; Pain Measurement; Spinal Cord Injuries; Surveys and Questionnaires; United Kingdom,"Ravenscroft, A; Ahmed, Y S; Burnside, I G","To determine current practice regarding assessment and management of patients with chronic pain after spinal cord injury (SCI) in the UK.; A postal questionnaire sent to the medical directors of the 12 spinal injury units in the UK.; A response was received from nine of the 12 units. Chronic pain was felt to be a significant problem amongst patients with SCI, with inconsistent opinion between respondents regarding prevalence, aetiology and classification of chronic pain after spinal cord injury. Only one unit had established protocols for the investigation and management of pain, and most units felt that guidelines would be useful. Most felt that there was a need for further information on the subject.; Our survey has demonstrated the uncertainty that exists amongst specialists dealing with pain after SCI, and emphasised the need for more research into the problem.",E,E
10027027,Postoperative nausea and vomiting in children using patient-controlled analgesia: the effect of prophylactic intravenous dixyrazine.,"Adolescent; Analgesia, Patient-Controlled; Analgesics, Opioid; Antiemetics; Child; Child, Preschool; Double-Blind Method; Female; Humans; Injections, Intravenous; Male; Morphine; Pain, Postoperative; Phenothiazines; Postoperative Nausea and Vomiting; Prospective Studies","Kokinsky, E; Thornberg, E; Nilsson, K; Larsson, L E","Although patient-controlled analgesia (PCA) with morphine provides a high degree of satisfactory postoperative analgesia in children, it is often associated with a high incidence of postoperative nausea and vomiting (PONV). Our aim in this study was to evaluate the prophylactic effect of dixyrazine, a phenothiazine with proven anti-emetic properties.; The incidence of nausea and vomiting was studied in 60 children using PCA after major surgery. The patients were randomised to receive either dixyrazine 0.25 mg kg-1 or placebo on the induction of anaesthesia in a double-blind, placebo-controlled design. The anaesthetic technique was standardised. The PCA pump was programmed to deliver bolus doses of morphine of 20 micrograms kg-1 with a continuous background infusion of 8-10 micrograms kg-1 h-1. Nausea, vomiting, sedation and pain scores were noted every 3 h for a period of 24 h.; The morphine consumption of morphine was the same in both groups. During the stay in the recovery room the incidence of vomiting was 3% in the dixyrazine group compared to 30% in the placebo group (P < 0.05). On the ward, 57% versus 83% of the children vomited (P < 0.05). Rescue antiemetics were significantly lower, 30%, in the dixyrazine group compared to 60% in the placebo group (P < 0.05). Higher sedation scores were recorded for the dixyrazine group in the recovery room. No other adverse effects were found.; A significant number of children using PCA with morphine after major surgery experience PONV. Although prophylactic dixyrazine reduces the incidence and severity of vomiting, the incidence still remains high.",E,E
10027033,Lack of pre-emptive analgesic effect of (R)-ketamine in laparoscopic cholecystectomy.,"Adult; Analgesia, Patient-Controlled; Analgesics, Opioid; Anesthesia, General; Anesthetics, Dissociative; Cholecystectomy, Laparoscopic; Double-Blind Method; Female; Humans; Ketamine; Male; Meperidine; Middle Aged; Pain Measurement; Pain, Postoperative","Mathisen, L C; Aasb酶, V; Raeder, J","This study evaluated the pre-emptive analgesic effect of intravenous (i.v.) (R)-ketamine in laparoscopic cholecystectomy. (R)-ketamine was used due to the lower incidence of side-effects.; Sixty patients who underwent surgery under general anesthesia were randomly allocated to 3 groups and studied in a double-blind manner. Two i.v. injections were administered: one after induction of anesthesia, approximately 3 min before surgery, and one after surgery. The placebo group (PLA, n = 20) received saline in both injections. The preoperative group (PRE, n = 20) received (R)-ketamine 1 mg/kg and then saline. The postoperative group (POST, n = 20) received saline and then (R)-ketamine 1 mg/kg. Postoperatively, the patients used a patient-controlled analgesia (PCA) pump. Pain was evaluated with a visual analog scale (VAS) at 30 min and every hour for 4 h and with a verbal rating scale (VRS) at 24 h and after 7 days.; There were no occurrence of side-effects from (R)-ketamine. VAS and VRS at 1, 2, 3, and 4 h postoperatively showed no statistical differences. In the POST group, extubation was delayed and pain score (VAS) at 30 min postoperatively was significantly lower (P < 0.05) than the two other groups. There were no statistical differences in meperidine consumption during the first 4 h postoperatively and no differences in consumption of analgesics at 24 h and 7 days.; In this study a 1 mg/kg dose of (R)-ketamine given at the end of surgery exerted a short-lasting hypnotic and analgesic effect. The same dose given preoperatively did not show postoperative analgesic effect or pre-emptive effect.",E,E
10028307,The management of a person with haemophilia who has a fixed flexed hip and intractable pain.,"Adult; Drainage; Hemophilia A; Hemorrhage; Hip; Humans; Joint Diseases; Male; Pain, Intractable","Heim, M; Varon, D; Strauss, S; Martinowitz, U","The clinical picture of a fixed flexed hip associated with pain in a person with haemophilia is suggestive of a haemorrhage in that area. Sonography facilitates differentiation between a haemarthrosis, intraperitoneal haemorrhage, subperiosteal bleed, a bleed into the soft tissue around the hip joint or a psoas haematoma. All these aforementioned causes may result in the same clinical presentation. Two cases are described in which coxhaemarthrosis resulted in a flexion contracture of the joint associated with severe intractable pain. Narcotic drugs failed to alleviate the severe pain. Joint aspiration produced dramatic pain relief and early joint rehabilitation.",E,E
10030776,Use of transdermal amitriptyline gel in a patient with chronic pain and depression.,"Administration, Cutaneous; Adult; Amitriptyline; Antidepressive Agents, Tricyclic; Chronic Disease; Depression; Gels; Humans; Inflammatory Bowel Diseases; Male; Pain","Scott, M A; Letrent, K J; Hager, K L; Burch, J L",A man with severe inflammatory bowel disease suffered from chronic abdominal pain and depression. A transdermal amitriptyline gel preparation was compounded since he was unable to take drugs orally Serum concentrations of amitriptyline and its active metabolite nortriptyline were measured over 24 hours. Symptoms of depression were monitored before starting transdermal therapy and at the end of 6 weeks. Pain symptoms and amitriptyline adverse drug events were monitored daily Steady-state serum concentrations of drug and metabolite were within the therapeutic range over 24 hours. The patient reported that his mood was improved but his abdominal pain remained unchanged. Transdermal amitriptyline gel was well tolerated and is an alternative delivery system in patients unable to take drugs orally.,E,E
10051763,Inducing placebo respiratory depressant responses in humans via opioid receptors.,"Aged; Analgesics, Opioid; Brain Chemistry; Buprenorphine; Conditioning (Psychology); Ethics, Medical; Female; Humans; Male; Middle Aged; Naloxone; Narcotic Antagonists; Opioid Peptides; Placebos; Receptors, Opioid; Respiration","Benedetti, F; Amanzio, M; Baldi, S; Casadio, C; Maggi, G","Several lines of evidence indicate that placebos produce analgesia through the activation of endogenous opioid systems. Recently, we showed that placebos may also produce respiratory depressant responses, a typical side-effect of narcotics, when a subject had a prior experience of respiratory depression in the course of narcotic treatment. In the present study, we report that the placebo respiratory depression can be induced after repeated administrations of the partial opioid agonist buprenorphine. The placebo respiratory depressant effect that resulted from the buprenorphine conditioning was completely blocked by a dose of 10 mg of naloxone, indicating that it was mediated by endogenous opioids. These findings show that placebos act, via the activation of opioid receptors, not only on pain mechanisms but on the respiratory centres as well, thus mimicking a typical side-effect of narcotics. In addition, the experimental procedure we used did not produce any expectation of respiratory depression and, similarly, the subjects did not notice any sign of respiratory discomfort. Thus, the placebo respiratory depression elicited in the present study cannot be explained on the basis of cognitive or motivational mechanisms. Rather, it appears to be a sequence effect due to learning, thus suggesting a conditioning mechanism mediated by endogenous opioids.",E,E
10051933,The effectiveness of clonidine as an analgesic in paediatric adenotonsillectomy.,"Acetaminophen; Adenoidectomy; Administration, Oral; Analgesics; Analgesics, Non-Narcotic; Analgesics, Opioid; Blood Pressure; Child; Clonidine; Codeine; Consciousness; Deglutition; Double-Blind Method; Female; Fentanyl; Follow-Up Studies; Humans; Incidence; Injections, Intravenous; Intraoperative Care; Male; Morphine; Pain Measurement; Pain, Postoperative; Premedication; Tonsillectomy","Reimer, E J; Dunn, G S; Montgomery, C J; Sanderson, P M; Scheepers, L D; Merrick, P M","To compare the analgesic effects of preoperative oral clonidine with intraoperative intravenous fentanyl in children undergoing tonsillectomy or adenotonsillectomy.; This randomized, controlled, double-blind study of 36 ASA I-II children, age 7-12 yr undergoing adenotonsillectomy was conducted at a tertiary care paediatric teaching hospital. Either 4 micrograms.kg-1 clonidine po was given 60-90 min preoperatively or 3 micrograms.kg-1 fentanyl i.v. was given intraoperatively. Postoperatively visual analog pain scores (VAS) were recorded at rest and on swallowing every 10 min for the first 30 min and then every 15 min for two hours. Morphine 0.05 mg.kg-1 i.v. was given for VAS > or = 5. If > 3 doses were required, 1.5 mg.kg-1 codeine po and 20 mg.kg-1 acetaminophen po were given. Sedation and anxiety scores were recorded preoperatively. Haemodynamic changes, blood loss, recovery scores, and the incidence of vomiting, hypotension, and airway obstruction were recorded.; Children who received clonidine had a higher incidence of preoperative sedation (63%) than those receiving fentanyl (6%). Preinduction mean arterial pressure was lower in the clonidine group but required no intervention. VAS scores were similar throughout the observation period. There was no difference either in the number of morphine or codeine rescue doses administered or in the incidence of side effects.; Oral clonidine is an effective analgesic and sedative for children undergoing tonsillectomy or adenotonsillectomy.",E,E
10051934,"Perioperative antinociceptive effects of tramadol. A prospective, randomized, double-blind comparison with morphine.","Adolescent; Adult; Analgesia, Patient-Controlled; Analgesics, Opioid; Analysis of Variance; Blood Pressure; Cholecystectomy, Laparoscopic; Double-Blind Method; Female; Follow-Up Studies; Heart Rate; Humans; Intraoperative Care; Male; Middle Aged; Morphine; Pain Measurement; Pain, Postoperative; Premedication; Prospective Studies; Respiration; Tramadol","Naguib, M; Seraj, M; Attia, M; Samarkandi, A H; Seet, M; Jaroudi, R","To compare the efficacy of tramadol and morphine for intra- and postoperative analgesia in patients undergoing laparoscopic cholecystectomy.; In a prospective, randomized, double-blind study 100 patients were allocated randomly into two groups. Ten minutes before induction of anaesthesia, patients in group 1 received 100 mg tramadol and those in group 2 received 10 mg morphine i.v. Anaesthesia was induced with 5 mg.kg-1 thiopental and was maintained with O2, N2O plus isoflurane with additional doses of tramadol or morphine as decided by the attending anaesthetist. Postoperatively, patients in group 1 and group 2 received tramadol and morphine, respectively, from a patient-controlled analgesia (PCA) device. Pain, analgesic consumption, vital signs and side effects were recorded postoperatively for 24 hr.; Intraoperative consumption of tramadol and morphine were 137 +/- 37 and 12.2 +/- 3 mg, respectively. Compared with morphine, patients receiving tramadol had higher blood pressures and required greater mean ETisQ to control haemodynamic variables (P < 0.05). Postoperatively, there were no differences in observer pain score or visual analogue pain score during the first 24 hr between groups except at 30, 45, and 90 min where patients in the tramadol group reported higher pain scores (P < 0.05). The cumulative, 24 hr PCA consumption was 111 +/- 93 and 7.5 +/- 6.6 mg of tramadol and morphine, respectively.; There was no difference between the use of tramadol and morphine to treat pain after laparoscopic cholecystectomy from 90 min after the end of surgery. Morphine was more effective than tramadol as an intraoperative analgesic.",E,E
10068176,Oral transmucosal fentanyl citrate (OTFC) for the treatment of breakthrough pain in cancer patients: a controlled dose titration study.,"Administration, Oral; Adult; Aged; Analgesics, Opioid; Dose-Response Relationship, Drug; Double-Blind Method; Female; Fentanyl; Humans; Male; Middle Aged; Neoplasms; Pain Measurement; Pain, Intractable; Prospective Studies; Time Factors","Portenoy, R K; Payne, R; Coluzzi, P; Raschko, J W; Lyss, A; Busch, M A; Frigerio, V; Ingham, J; Loseth, D B; Nordbrock, E; Rhiner, M","Oral transmucosal fentanyl citrate (OTFC) is a novel opioid formulation in which the potent synthetic mu-agonist fentanyl is embedded in a sweetened matrix that is dissolved in the mouth. It is undergoing investigation as a treatment for cancer-related breakthrough pain, a prevalent phenomenon defined as a transitory flare of moderate to severe pain that interrupts otherwise controlled persistent pain. There have been no controlled trials of other treatments for this condition. To evaluate the safety and efficacy of ascending doses of OTFC, a novel controlled dose titration methodology was developed that applied blinding and randomization procedures to the evaluation of recurrent pains in the home environment. The study was a multicenter, randomized, double-blind dose titration study in ambulatory cancer patients. The sample comprised adult patients receiving a scheduled oral opioid regimen equivalent to 60-1000 mg oral morphine per day, who were experiencing at least one episode per day of breakthrough pain and had achieved at least partial relief of this pain by use of an oral opioid rescue dose. After collection of 2 days of baseline data concerning the efficacy of the usual rescue drug, patients were randomly treated with either 200 or 400 microg OTFC unit doses in double-blind fashion. Up to two breakthrough pains each day could be treated with up to four OTFC unit doses per pain. OTFC in unit doses containing 200, 400, 600, 800, 1200 or 1600 microg of fentanyl citrate were available for the study. The unit dose was titrated upward in steps until the patient had 2 consecutive days on which breakthrough pain could be treated with the single unit dose, titration was ineffective at a 1600 microg unit dose, or 20 days elapsed. To maintain the double-blind, orders to titrate up were ignored one-third of the time according to a pre-defined randomization schedule accessible only to an unblinded study pharmacist. Main outcome measures included, numeric or categorical measures of pain intensity, pain relief, and global assessment of drug performance. Dose response relationships were found suggesting that the methodology was sensitive to opioid effects. Seventy-four percent of patients were successfully titrated. There was no relationship between the total daily dose of the fixed schedule opioid regimen and the dose of OTFC required to manage the breakthrough pain. Although the study was not designed to provide a definitive comparison between OTFC and the usual rescue drug, exploratory analyses found that OTFC provided significantly greater analgesic effect at 15, 30 and 60 min, and a more rapid onset of effect, than the usual rescue drug. Adverse effects of the OTFC were typically opioid-related, specifically somnolence, nausea and dizziness. Very few adverse events were severe or serious. This study demonstrated the feasibility of controlled trial methodology in studies of breakthrough pain. OTFC appears to be a safe and effective therapy for breakthrough pain, and dose titration can usually identify a unit dose capable of providing adequate analgesia. If the lack of a relationship between the effective OTFC dose and fixed schedule opioid regimen is confirmed, dose titration may be needed in the clinical use of this formulation. Further investigation of OTFC as a specific treatment for breakthrough pain is warranted.",E,E
