pubmedID,title,keywords,authors,abstracts,label1,label2
10068412,"Comparison of bedtime insulin regimens in patients with type 2 diabetes mellitus. A randomized, controlled trial.","Albuminuria; Blood Glucose; Blood Pressure; C-Peptide; Diabetes Mellitus, Type 2; Drug Administration Schedule; Drug Therapy, Combination; Follow-Up Studies; Glyburide; Glycated Hemoglobin A; Humans; Hypoglycemic Agents; Insulin; Lipids; Metformin; Middle Aged; Weight Gain","Yki-J盲rvinen, H; Ryysy, L; Nikkil盲, K; Tulokas, T; Vanamo, R; Heikkil盲, M","Compared with other insulin regimens, combination therapy with oral hypoglycemic agents and bedtime insulin produces similar improvement in glycemic control but induces less weight gain.; To determine whether bedtime insulin regimens differ with respect to their effects on weight gain in patients with type 2 diabetes.; Randomized, controlled trial.; Four outpatient clinics at central hospitals.; 96 patients (mean age, 58 +/- 1 years; mean body mass index, 29 +/- 1 kg/m2) whose type 2 diabetes was poorly controlled with sulfonylurea therapy (mean glycosylated hemoglobin value, 9.9% +/- 0.2%; mean fasting plasma glucose level, 11.9 +/- 0.3 mmol/L [214 +/- 5 mg/dL]).; Random assignment to 1 year of treatment with bedtime intermediate-acting insulin plus glyburide (10.5 mg) and placebo, metformin (2 g) and placebo, glyburide and metformin, or a second injection of intermediate-acting insulin in the morning. Patients were taught to adjust the bedtime insulin dose on the basis of fasting glucose measurements.; Body weight, biochemical and symptomatic hypoglycemias, and indices of glycemic control.; At 1 year, body weight remained unchanged in patients receiving bedtime insulin plus metformin (mean change, 0.9 +/- 1.2 kg; P < 0.001 compared with all other groups) but increased by 3.9 +/- 0.7 kg, 3.6 +/- 1.2 kg, and 4.6 +/- 1.0 kg in patients receiving bedtime insulin plus glyburide, those receiving bedtime insulin plus both oral drugs, and those receiving bedtime and morning insulin, respectively. The greatest decrease in the glycosylated hemoglobin value was observed in the bedtime insulin and metformin group (from 9.7% +/- 0.4% to 7.2% +/- 0.2% [difference, -2.5 +/- 0.4 percentage points] at 1 year; P < 0.001 compared with 0 months and P < 0.05 compared with other groups). This group also had significantly fewer symptomatic and biochemical cases of hypoglycemia (P < 0.05) than the other groups.; Combination therapy with bedtime insulin plus metformin prevents weight gain. This regimen also seems superior to other bedtime insulin regimens with respect to improvement in glycemic control and frequency of hypoglycemia.",E,E
10082152,Effects of K(ATP) channel blockade by glibenclamide on the warm-up phenomenon.,"Adenosine Triphosphate; Administration, Oral; Adult; Aged; Coronary Disease; Electrocardiography; Exercise Test; Female; Follow-Up Studies; Glyburide; Humans; Hypoglycemic Agents; Ischemic Preconditioning, Myocardial; Male; Middle Aged; Potassium Channel Blockers; Single-Blind Method; Treatment Outcome","Tomai, F; Danesi, A; Ghini, A S; Crea, F; Perino, M; Gaspardone, A; Ruggeri, G; Chiariello, L; Gioffr猫, P A","The increased tolerance to myocardial ischaemia observed during the second of two sequential exercise tests, i.e. the warm-up phenomenon, has been proposed as a clinical model of ischaemic preconditioning. As ATP-sensitive K+ channels appear to be a mediator of ischaemic preconditioning in both experimental and clinical studies, the aim of this study was to investigate the role of K(ATP) channels in the warm-up phenomenon.; Twenty-six patients with coronary artery disease were randomized to receive 10 mg oral glibenclamide, a selective ATP-sensitive K+ channel blocker, or placebo. Sixty minutes after glibenclamide or placebo administration, patients were given an infusion of 10% dextrose (8 ml x min(-1)) to correct glucose plasma levels or, respectively, an infusion of saline at the same infusion rate. Thirty minutes after the beginning of the infusions, both patient groups underwent two consecutive treadmill exercise tests, with a recovery period of 15 min to re-establish baseline conditions. Before exercise tests, blood glucose levels were similar in placebo and glibenclamide groups (96 +/- 10 vs 105 +/- 22 mg x 100 ml(-1), P=ns). After placebo administration, rate-pressure product at 1.5 mm ST-segment depression significantly increased during the second exercise test compared to the first (220 +/- 41 vs 186 +/- 29 beats x min(-1) x mmHg x 10(2), P<0.01), but it did not change after glibenclamide (191 +/- 34 vs 187 +/- 42 beats x min(-1) x mmHg x 10(2), P=ns), with a significant drug-test interaction (P=0.0091, at two-way ANOVA).; Glibenclamide, at a dose previously shown to abolish ischaemic preconditioning during coronary angioplasty, prevents the increase of ischaemic threshold observed during the second of two sequential exercise tests. These findings confirm that ischaemic preconditioning plays a key role in the warm-up phenomenon and that in this setting is, at least partially, mediated by activation of ATP-sensitive K+ channels.",I,I
10085698,[Short-term intensive insulin therapy as a method of overcoming secondary failure of sulfonylureas in patients with type 2 diabetes (non-insulin-dependent)].,"Aged; Diabetes Mellitus, Type 2; Drug Administration Schedule; Drug Resistance; Drug Therapy, Combination; Female; Glyburide; Humans; Hypoglycemic Agents; Insulin; Male; Middle Aged; Phenformin; Sulfonylurea Compounds; Treatment Failure","Jedynasty, K; Kasperska-Czyzykowa, T; Stepie艅, K; Nowaczyk, R","The study group comprised 56 patients (25 males and 31 females) with type 2 diabetes in whom the secondary failure to sulphonylurea derivates (SU) had developed. All patients were submitted for 14 days to therapy with 5 injections of insulin per day in total dose of insulin permitting to decrease the mean daily glycaemia below 8.8 mmol/l (160 mg/dl). After the termination of the intensive insulin therapy (IIT) the patients with insulin requirement below 44 U daily were alternatively qualified to treatment with SU (glybenclamide) alone or with this SU plus biguanide derivate (BG: phenformin), and those who needed more than 44 U daily continued conventional therapy with insulin alone or with insulin plus SU (glybenclamide). There was a marked reduction of fasting and postprandial blood glucose during the IIT and over the subsequent 15 months of the follow-up. The mean glycaemia which initially was in fasting state 12.5 +/- 2.4 mmol/l (225 +/- 43 mg/dl) and 2 hours after breakfast 18.1 +/- 2.8 mmol/l (325 +/- 50 mg/dl) decreased significantly and was in four groups between 8.0 +/- 0.3 mmol/l (144 +/- 5 mg/dl) and 10.8 +/- 0.5 mmol/l (194 +/- 9 mg/dl) in fasting state and between 10.5 +/- 0.3 (189 +/- 5 mg/dl) and 11.2 +/- 0.4 mmol/l (201 +/- 7 mg/dl) after breakfast. The least hypoglycaemic effect was found in patients who after IIT were treated exclusively with insulin (mean daily dose 53 +/- 2 IU) while the decrease of glycaemia was most evident in patients treated with SU given as a single drug or in combination with BG or with insulin (mean daily dose 19 +/- 1 IU). In all studied patients basal and stimulated (1 mg glucagon i.v.) C-peptide secretion markedly decreased during IIT, and greatly increased after its termination, and this increase persisted over following 15 months of observation, correlating with the initial values.; The short-term IIT in patients with NIDDM and secondary failure to SU is effective in reducing hyperglycaemia, and in most of them makes possible to continue the oral antidiabetic treatment with SU. The secretion of endogenous insulin seems to have only limited influence on the metabolic control of the patients treated with four different pharmacological regiments after IIT.",E,E
10097930,A 1-year multicenter randomized double-blind comparison of repaglinide and glyburide for the treatment of type 2 diabetes. Dutch and German Repaglinide Study Group.,"Adult; Blood Glucose; Carbamates; Diabetes Mellitus, Type 2; Double-Blind Method; Fasting; Female; Glyburide; Glycated Hemoglobin A; Humans; Hypoglycemic Agents; Male; Middle Aged; Piperidines","Wolffenbuttel, B H; Landgraf, R","Repaglinide is a newly developed oral blood glucose-lowering agent that exerts its effect by stimulating insulin secretion. This multicenter study was designed to compare the efficacy and safety of this drug with glyburide in a 1-year randomized double-blind study of outpatients with type 2 diabetes.; A total of 424 subjects (154 women, 270 men) participated and had the following characteristics: age, 61 +/- 9 years; duration of diabetes. 8 years (range 0.5-35); BMI, 28.3 +/- 3.5 kg/m2; HbA1c, 7.1 +/- 1.4%; and fasting plasma glucose, 10.8 +/- 3.1 mmol/l. The majority of the subjects (91%) were previously treated with sulfonylurea, alone or in combination with metformin. The patients were randomized to a 2:1 ratio of repaglinide (0.5-4 mg t.i.d.) or glyburide (1.75-10.5 mg daily) treatment. The study protocol included a screening visit to assess patient eligibility; a titration period of 6-8 weeks, during which the dosages of repaglinide and glyburide were optimized; and a subsequent 12-month treatment period on fixed, optimal dosages.; The trial was completed by 320 subjects, 211 (74%) in the repaglinide and 109 (78%) in the glyburide group. HbA1c initially decreased in both groups and then increased during the second half-year of the maintenance period to a similar extent in the repaglinide and glyburide subjects (0.58 and 0.45% vs. at screening, respectively). In the small group of subjects who previously controlled their condition with diet only (n = 37), a sustained improvement of metabolic control could be observed with both drugs, which was slightly better with glyburide than with repaglinide (theta HbA1c -2.4 vs. -1.0%; P < 0.05). The same trends were seen with fasting plasma glucose. There were no changes in serum lipids. Over the course of the study, 15% of the repaglinide-treated and 13% of glyburide-treated subjects withdrew due to adverse events, mostly hyperglycemia. No differences in adverse events between both drugs were reported. There were no differences in incidences of hypoglycemia.; Repaglinide is a safe and efficacious oral blood glucose-lowering agent, with a potency similar to that of glyburide. Its rapid onset of action and hepatic clearance allows meal-related administration, including in subjects with impaired kidney function.",I,I
10178657,A short term cost-effectiveness model for oral antidiabetic medicines in Europe.,"Cost-Benefit Analysis; Diabetes Mellitus, Type 2; Europe; Glyburide; Humans; Hypoglycemic Agents; Insulin; Metformin; Models, Economic","Hood, S C; Annemans, L; Rutten-van M枚lken, M","A short term (6-month) cost-effectiveness model has been developed to simulate current medical practice and disease progression in patients with type 2 (non-insulin-dependent) diabetes mellitus uncontrolled by diet and exercise. The model is based on decision-analytical techniques and includes probabilities of switching between treatments, the reason for the switch and the most common switch options. Effectiveness and economic measures are the 2 main outcomes. In order to assess effectiveness, we use symptom-free days with acceptable control (SFDACs), which represent each day of treatment without adverse events or symptoms, and with acceptable control of glucose and lipids. For the economic evaluation, only incremental costs incurred directly by a health insurance system are considered. This model should prove useful in the evaluation of new oral antidiabetic agents, since the short term aim of antidiabetic therapy is to provide adequate control in the absence of adverse effects and symptoms (a prerequisite for successful long term treatment). Furthermore, short term analysis provides data for comparing initial investment in drug therapy with potential savings over a longer treatment period.",E,E
10178668,Evaluation of the potential clinical and economic effects of bodyweight stabilisation with acarbose in patients with type 2 diabetes mellitus. A decision-analytical approach.,"Acarbose; Adult; Body Weight; Decision Support Techniques; Diabetes Mellitus, Type 2; Female; Humans; Male; Middle Aged; Trisaccharides","Banz, K; Dinkel, R; Hanefeld, M; Schwanebeck, U","Bodyweight is an acknowledged independent risk factor for coronary heart disease (CHD). The present model analysis was undertaken to investigate the clinical and economic impact of bodyweight gain in patients with type 2 (non-insulin-dependent) diabetes mellitus and its effects on the development of CHD. Based on a retrospective re-evaluation of data from the Diabetes Intervention Study (DIS), patients with type 2 diabetes mellitus and stable bodyweight (group A) had a significantly lower rate of combined CHD events (30.3%) than patients showing a bodyweight gain (group B; 38.2%) over 10 years. Prevention of bodyweight gain, therefore, appears to be a meaningful strategy in the management of diabetes mellitus. In addition to this clinical advantage, prevention of CHD will also result in economic savings associated with avoided treatment of coronary events. Based on the clinical outcomes from the DIS, the calculated per-patient net savings for a patient with type 2 diabetes mellitus and stable bodyweight amounted to 1085 deutschmarks (DM) when compared with a patient experiencing a bodyweight increase. In a further step, the above situation was projected to current type 2 diabetes mellitus practice. Oral first-line treatment of type 2 diabetes mellitus is usually initiated with glibenclamide (glyburide), which is known to increase bodyweight (reflecting group B). The novel alpha-glucosidase inhibitor acarbose, in contrast, appears to be as effective as glibenclamide, but has the advantage of being bodyweight-neutral (reflecting group A). From the clinical viewpoint, acarbose can thus be considered an alternative to glibenclamide. From the viewpoint of drug costs, monotherapy with acarbose is 4 times as expensive as glibenclamide in Germany, resulting in per-patient incremental costs of DM3527 for acarbose over 10 years. Balanced against the potential 10-year cost saving of DM1085 resulting from the potential of acarbose to prevent CHD, around one-third of the incremental cost of acarbose may be recouped by this single effect. However, further possible benefits of acarbose, including the avoidance of hypoglycaemia and the deferral of costly insulin therapy, may improve the economic value of this novel antidiabetic agent. Given the indirect approach of this evaluation and its many limitations, the above findings need critical appraisal, and comparative trials are urgently required to substantiate our preliminary results.",E,E
10193691,Troglitazone: a review of its use in the management of type 2 diabetes mellitus.,"Adult; Aged; Animals; Area Under Curve; Chromans; Diabetes Mellitus, Type 2; Drug Interactions; Glucose; Glyburide; Half-Life; Humans; Hypoglycemic Agents; Randomized Controlled Trials as Topic; Thiazoles; Thiazolidinediones","Plosker, G L; Faulds, D","Troglitazone is the first of a new group of oral antidiabetic drugs, the thiazolidinediones, and is indicated for the treatment of patients with type 2 (non-insulin-dependent) diabetes mellitus. Troglitazone acts by enhancing the effects of insulin at peripheral target sites and, unlike the sulphonylurea drugs, is not associated with hypoglycaemia when administered as monotherapy. Clinical trials with troglitazone (usually 200 to 600 mg/day) in patients with type 2 diabetes mellitus consistently showed marked improvement in glycaemic control, as well as reductions in fasting serum insulin, C-peptide and triglyceride levels. Comparative studies with either glibenclamide (glyburide) or metformin indicated similar glycaemic control with troglitazone or these agents. Serum insulin levels were lower with troglitazone than with glibenclamide. Clinical trials of up to approximately 2 years' duration showed that glycaemic control is maintained with troglitazone on a long term basis. In general, troglitazone is well tolerated by the majority of patients. However, discontinuation of troglitazone because of elevated liver enzyme levels occurs in approximately 2% of patients receiving the drug, and frequent monitoring of liver enzymes is required (e.g. at least 11 times during the first year of therapy). Among patients who started troglitazone therapy in 1998 (after the incorporation of a boxed warning and increased monitoring requirements in the product labelling), the estimated risk of liver-related death is approximately 1 in 100,000.; Troglitazone improves the ability of target cells to respond to insulin. The drug has been shown to improve glycaemic control in patients with type 2 diabetes mellitus when used as monotherapy or in combination with other oral antidiabetic drugs or insulin, and its efficacy is similar to that of glibenclamide or metformin. Although troglitazone is generally well tolerated, close monitoring of liver enzyme function is required to minimise the rare occurrence of serious hepatic dysfunction. Drug acquisition and liver function monitoring costs, as well as potential adverse effects, are important factors that may ultimately determine the precise place of troglitazone in the management of type 2 diabetes mellitus. Nevertheless, as the first member of a new class of oral antidiabetic agents, the thiazolidinediones, troglitazone offers an effective treatment option in patients with type 2 diabetes mellitus through its action of improving insulin sensitivity.",E,E
10199430,Relationship between fasting plasma glucose and glycosylated hemoglobin: potential for false-positive diagnoses of type 2 diabetes using new diagnostic criteria.,"Adult; Blood Glucose; Cross-Sectional Studies; Diabetes Mellitus, Type 2; False Positive Reactions; Fasting; Glucose Tolerance Test; Glycated Hemoglobin A; Humans","Davidson, M B; Schriger, D L; Peters, A L; Lorber, B","New criteria for the diagnosis of type 2 diabetes mellitus have recently been introduced that lowered the diagnostic fasting plasma glucose (FPG) concentration from 7.8 to 7.0 mmol/L (140 to 126 mg/dL).; To determine if individuals with diabetes diagnosed by the new FPG concentration criterion would have excessive glycosylation (elevated hemoglobin [HbA1c] levels).; We determined the distribution of HbA1c levels in individuals using 4 classifications: (1) normal by the new criterion (FPG concentration <6.1 mmol/L [110 mg/dL]); (2) impaired fasting glucose by the new criterion (FPG concentration of 6.1-6.9 mmol/L [110-125 mg/dL]); (3) diabetes diagnosed solely by the new FPG concentration criterion of 7.0 through 7.7 mmol/L (126-139 mg/dL); and (4) diabetes diagnosed by the previous FPG concentration criterion of 7.8 mmol/L (140 mg/dL) or higher.; Cross-sectional analysis of 2 large data sets (NHANES III and Meta-Analysis Research Group [MRG] on the Diagnosis of Diabetes Using Glycated Hemoglobin) that contained individuals in whom FPG concentrations, 2-hour glucose concentrations using an oral glucose tolerance test, and an HbA1c level were simultaneously measured. We cross-tabulated FPG concentrations (<6.1 mmol/L [110 mg/dL], 6.1-6.9 mmol/L [110-125 mg/dL], 7.0-7.7 mmol/L [126-139 mg/dL], and > or =7.8 mmol/L [140 mg/dL]) and HbA1c levels separated into 3 intervals: normal, less than the upper limit of normal (ULN); slightly elevated, ULN to ULN plus 1%; and high, higher than ULN plus 1%.; Among subjects with normal FPG concentrations, HbA1c levels in the NHANES III (and the MRG) data sets were normal in 97.3% (96.2%), slightly elevated in 2.7% (3.6%), and high in 0.1% (0.2%). Among individuals with impaired fasting glucose, HbA1c concentrations were normal in 86.7% (81.4%), slightly elevated in 13.1% (16.4%), and high in 0.2% (2.2%). Among diabetic patients diagnosed by the new FPG criterion only, HbA1c levels were normal in 60.9% (59.6%), slightly elevated in 35.8% (32.8%), and high in 3.4% (7.6%). In diabetic patients diagnosed by the former FPG criterion, HbA1c levels were normal in 18.6% (16.7%), slightly elevated in 32.5% (21.0%), and high in 48.9% (62.3%).; About 60% of the new cohort of diabetic patients in both data sets have normal HbA1c levels. We believe that diabetes should not be diagnosed in those with FPG concentrations less than 7.8 mmol/L (140 mg/dL) unless excessive glycosylation is evident. Individuals without excessive glycosylation but with moderate elevations of FPG concentrations (6.1-7.7 mmol/L [110-139 mg/dL]) should be diagnosed as having impaired fasting glucose and treated with an appropriate diet and exercise. This diagnostic labeling achieves the goal of early intervention without subjecting these persons to the potentially negative insurance, employment, social, and psychological consequences of a diagnosis of diabetes mellitus.",I,I
10213347,"Sulfonylureas and ischaemic preconditioning; a double-blind, placebo-controlled evaluation of glimepiride and glibenclamide.","Adult; Aged; Angioplasty, Balloon, Coronary; Coronary Disease; Double-Blind Method; Electrocardiography; Female; Glyburide; Humans; Hypoglycemic Agents; Injections, Intravenous; Ischemic Preconditioning; Male; Middle Aged; Sulfonylurea Compounds; Treatment Outcome","Klepzig, H; Kober, G; Matter, C; Luus, H; Schneider, H; Boedeker, K H; Kiowski, W; Amann, F W; Gruber, D; Harris, S; Burger, W","Glimepiride is a new sulfonylurea for diabetes treatment which is supposed to impact less on extra-pancreatic ATP-dependent K+ channels than the conventional drug glibenclamide. This study was performed to evaluate whether this results in a better maintenance of ATP-dependent K+ channel mediated ischaemic myocardial preconditioning.; In a double-blind placebo-controlled study the period of total coronary occlusion during balloon angioplasty of high grade coronary artery stenoses was used as a model to compare the effects of both drugs. Quantification of myocardial ischaemia was achieved by recording the intracoronary ECG and the time to the occurrence of angina during vessel occlusion. All patients underwent three dilatations. The first dilatation (dilatation 1) served to determine the severity of ischaemia during vessel occlusion. During dilatation 2, baseline values were recorded. Thereafter, glimepiride (15 patients: 1.162 mg), glibenclamide (15 patients: 2.54 mg) or placebo (15 patients) were intravenously administered over 12 min. Dilatation 3 started 10 min after the beginning of the drug administration. Mean ST segment shifts in the placebo group decreased by 35% (dilatation 2: 0.23; dilatation 3:0.15 mV; CI -0.55 to 0.00 mV; P=0.049). A similar reduction also occurred in the glimepiride group, in which repetitive balloon occlusion led to a 34% reduction (dilatation 2: 0.35; dilatation 3: 0.23 mV; CI -0.21 to -0.02 mV; P=0.01). There was little influence however, on mean ST segment shifts in the glibenclamide group (dilatation 2 and dilatation 3: 0.24 mV; CI -0.10 to 0.25 mV; P=0.34). Accordingly, time to angina during balloon occlusion slightly increased (by 30%) in the placebo group (dilatation 2: 37 s; dilatation 3: 48 s; CI 0.0 to 15.0 s; P=0.16); increased by 13% in the glimepiride group (dilatation 2: 40 s; dilatation 3: 45 s; CI 0.0 to 14.0 s; P=0023); and remained unchanged in the glibenclamide group (dilatation 2 and dilatation 3: 30 s; CI -7.5 to 7.5 s; P=0.67).; These results show that glimepiride maintains myocardial preconditioning, while glibenclamide might be able to prevent it.",E,E
10229308,"The effect of gliclazide on plasma insulin, intact and 32/33 split proinsulin in South Asian subjects with Type 2 diabetes mellitus.","Adult; Aged; Asia, Southeastern; Diabetes Mellitus, Type 2; Female; Gliclazide; Humans; Hypoglycemic Agents; Insulin; Islets of Langerhans; Male; Middle Aged; Proinsulin; Protein Precursors; United Kingdom","Ammari, F; Davies, M J; Koppiker, N; Gregory, R; Burden, A C","Previous studies have shown that in Caucasian subjects with Type 2 diabetes mellitus (DM), the sulphonylurea glibenclamide increased insulin secretion without causing an increase in 32/33 split proinsulin secretion. South Asian subjects with Type 2 DM are thought to be more insulin resistant and the effect of sulphonylureas may be different. We therefore investigated the effect of sulphonylurea therapy with gliclazide on beta-cell function in South Asian subjects with newly diagnosed Type 2 DM.; Glucose, insulin, and intact and 32/33 split proinsulin were measured at diagnostic oral glucose tolerance test (OGTT). After 8-12 weeks on a conventional diet, subjects with a fasting glucose > 6 mmol/l (n = 16) were commenced on gliclazide.; At diagnosis, those requiring gliclazide were more hyperglycaemic but there was no difference in weight or fasting insulin concentration than in the diet group. Following diet, in the gliclazide group, weight fell (P < 0.04) with no change in fasting glucose concentration. Fasting intact proinsulin, insulin and 32/33 split proinsulin remained unchanged. After gliclazide therapy weight remained unchanged, but fasting glucose fell (P < 0.003). Fasting insulin and intact proinsulin remained unchanged but 32/33 split proinsulin fell (P < 0.05). Fasting insulin to glucose ratio significantly improved after gliclazide (P < 0.006).; In South Asian subjects treated with gliclazide the reduction in fasting glucose concentrations appears to be due to an improvement in insulin sensitivity as well as in beta-cell function.",E,E
