pubmedID,title,keywords,authors,abstracts,label1,label2
10024259,Symptomatic gastro-oesophageal reflux disease: double blind controlled study of intermittent treatment with omeprazole or ranitidine. The European Study Group.,Adult; Aged; Anti-Ulcer Agents; Double-Blind Method; Female; Gastroesophageal Reflux; Humans; Male; Middle Aged; Omeprazole; Ranitidine; Time Factors; Treatment Outcome,"Bardhan, K D; M眉ller-Lissner, S; Bigard, M A; Bianchi Porro, G; Ponce, J; Hosie, J; Scott, M; Weir, D G; Gillon, K R; Peacock, R A; Fulton, C","To assess intermittent treatment over 12 months in patients with symptomatic gastro-oesophageal reflux disease.; Randomised, multicentre, double blind, controlled study. Patients with heartburn and normal endoscopy results or mild erosive changes received omeprazole 10 mg or 20 mg daily or ranitidine 150 mg twice daily for 2 weeks. Patients remaining symptomatic had omeprazole 10 mg or ranitidine dose doubled for another 2 weeks while omeprazole 20 mg was continued for 2 weeks. Patients who were symptomatic or mildly symptomatic were followed up for 12 months. Recurrences of moderate or severe heartburn during follow up were treated with the dose which was successful for initial symptom control.; Hospitals and primary care practices between 1994 and 1996.; 677 patients with gastro-oesophageal reflux disease.; Total time off active treatment, time to failure of intermittent treatment, and outcomes ranked from best to worst.; 704 patients were randomised, 677 were eligible for analyses; 318 reached the end of the study with intermittent treatment without recourse to maintenance antisecretory drugs. The median number of days off active treatment during follow up was 142 for the entire study (281 for the 526 patients who reached a treatment related end point). Thus, about half the patients did not require treatment for at least 6 months, and this was similar in all three treatment groups. According to outcome, 378 (72%) patients were in the best outcome ranks (no relapse or one (or more) relapse but in remission until 12 months); 630 (93%) had three or fewer relapses in the intermittent treatment phase. Omeprazole 20 mg provided faster relief of heartburn. The results were similar in patients with erosive and non-erosive disease.; Intermittent treatment is effective in managing symptoms of heartburn in half of patients with uncomplicated gastro-oesophageal reflux disease. It is simple and applicable in general practice, where most patients are seen.",I,E
10027653,Helicobacter pylori clearance and serum gastrin and pepsinogen I concentrations in omeprazole treatment of duodenal ulcer patients.,Adult; Age Factors; Aged; Duodenal Ulcer; Female; Gastrins; Helicobacter pylori; Humans; Male; Middle Aged; Omeprazole; Pepsinogen A; Pyloric Antrum; Sex Factors; Smoking,"Lee, C T; Kuo, B I; Chen, C Y; Chang, F Y; Lee, S D","To determine which demographic factors may influence serum gastrin and pepsinogen I (PGI) levels in duodenal ulcer patients undergoing omeprazole treatment.; We conducted an outpatient-based prospective study in the Veterans General Hospital, Taipei, to investigate the pharmacological effects on patients with duodenal ulcers receiving omeprazole treatment for 4 weeks. Sixty-eight patients (61 males/7 females, aged 25 73 years) with endoscopically confirmed duodenal ulcer were included. Gastrin and pepsinogen I levels were measured before and after treatment. Demographic factors including age, sex, smoking, ulcer healing and antral Helicobacter pylori colonization/clearance were analyzed, in order to measure their probable influences on serum gastrin and pepsinogen I levels.; Ulcer healing was seen in 92.6% of patients while 48 (70.6%) antral clearances were seen in 66 H. pylori colonized patients at the end of trial. Omeprazole monotherapy led to a marked elevation of serum gastrin (85.8 pg x ml(-1), SD 32.0 pg x ml(-1) vs 133.9 pg x ml(-1), SD 71.6 pg x ml(-1), P < 0.01), and pepsinogen I (111.0 ng x ml(-1), SD 36.7 ng x ml(-1) vs 253.6 ng x ml(-1) , SD 64.8 ng x ml(-1), P < 0.01) levels when measured on day 29. Only patients showing antral H. pylori clearance exhibited an influence on the magnitude of pepsinogen I elevation following omeprazole monotherapy (143.9%, SD 67.3% vs 78.6%, SD 51.2%, P < 0.01). Moreover, the sensitivity and specificity of serum pepsinogen I variations were plotted on a receiving operating characteristic (ROC) curve. The 140% increased pepsinogen I level yielded a maximum accuracy of 80% specificity or 50% sensitivity to predict antral H. pylori clearance.; Antral H. pylori clearance is at least partially responsible for the omeprzaole-induced hyperpepsinogenemia I. The magnitude of hyperpepsinogenemia I probably provides a non-invasive alternative for predicting H. pylori clearance.",E,E
10029360,Antimicrobial treatment of H. pylori infection--a pooled efficacy analysis of eradication therapies.,"Antacids; Anti-Bacterial Agents; Bismuth; Drug Therapy, Combination; Dyspepsia; Helicobacter Infections; Helicobacter pylori; Humans; Meta-Analysis as Topic; Peptic Ulcer","Unge, P","To evaluate the clinical efficacy of available therapies directed towards Helicobacter pylori eradication.; Pooled overall analyses of a limited number of drug combinations regardless of dosage, duration, formulation etc.; Helicobacter pylori infected patients with or without complications.; Efficacy data from all studies included in the analysis are transformed to or retained as intention to treat data.; Efficacy is presented as proportion of patients cured from the infection. Confidence intervals are enlarged by 1.5 due to the inferior strength of a pooled analysis.; Dual therapies are ineffective. Triple therapies cure 70-90% of the patients. Well documented high efficacy is shown for a proton pump inhibitor plus two antimicrobials. Less studied but effective alternatives are ranitidine-bismuth plus two antimicrobials.; A proton pump inhibitor plus two antimicrobials is the best validated highly effective type of eradication therapy.",E,E
10036953,[Triple therapy regimens involving H2 blockaders for therapy of Helicobacter pylori infections].,"2-Pyridinylmethylsulfinylbenzimidazoles; Adult; Aged; Aged, 80 and over; Anti-Bacterial Agents; Anti-Ulcer Agents; Clarithromycin; Double-Blind Method; Drug Evaluation; Drug Therapy, Combination; Female; Helicobacter Infections; Helicobacter pylori; Histamine H2 Antagonists; Humans; Lansoprazole; Male; Metronidazole; Middle Aged; Omeprazole; Peptic Ulcer; Proton Pump Inhibitors; Ranitidine; Treatment Outcome","Kihira, K; Sato, K; Yoshida, Y; Kumakura, Y; Kimura, K; Sugano, K","Comparison of ranitidine and lansoprazole in short-term low-dose triple therapy for Helicobacter pylori infection. To evaluate the efficacy and safety of two 1-week low-dose triple-therapy drug regimens involving antisecretory drugs for Helicobacter pylori infection, 99 patients with H. pylori infection were treated with either lansoprazole (LPZ) or ranitidine (RNT) used together with clarithromycin (CAM) and metrinidazole (MTZ). The drug combination and administration periods in the PPI group were LPZ 30 mg, CAM 400 mg, MTZ 500 mg (LCM group). The ranitidine group received RNT 300 mg, CAM 400 mg, MTZ 500 mg (RCM group). The cure rate of H. pylori infection was 88% in the LCM group; 95% CI 79-97 and 92% in the RCM group; 95% CI 84-99.",E,E
10063300,Simple closure of perforated duodenal ulcer.,Adolescent; Adult; Aged; Anti-Ulcer Agents; Duodenal Ulcer; Famotidine; Female; Humans; Male; Middle Aged; Peptic Ulcer Perforation; Postoperative Care; Risk Factors; Survival Rate; Suture Techniques,"Kulkarni, S H; Kshirsagar, A Y","A study was undertaken to evaluate the efficacy of simple closure followed by drug therapy in cases of perforated duodenal ulcer and to identify the risk factors in relation to the mortality. The male to female ratio was 5:1. Of the patients 59.2% were up to 50 years of age, while 40.8% were above the age of 50 years. Of the patients 47% were admitted 24 hours after the onset of peritonitis. All these patients were surgically treated with simple closure of the perforation with omental patch. Nine patients expired leading to 7.5% mortality. The risk factors identified for mortality were age 60 years and above, presence of shock on admission and delayed presentation. The mortality is directly related to the number of risk factors present in a given patient. At the time of discharge the patients were advised to take orally famotidine 40 mg at bed time for a period of 8 weeks. Eighty-one patients could be followed up and Visick grading was done. Sixty-two patients were in grade I, 11 in grade II, 3 in grade III and 5 in grade IV. The results indicate that simple closure followed by drug therapy is acceptable treatment for perforated duodenal ulcer.",3,E
10073749,"Reliability of the omeprazole hydroxylation index for CYP2C19 phenotyping: possible effect of age, liver disease and length of therapy.",Adult; Age Factors; Aryl Hydrocarbon Hydroxylases; Cytochrome P-450 CYP2C19; Cytochrome P-450 Enzyme System; Female; Genotype; Humans; Hydroxylation; Liver Diseases; Male; Middle Aged; Mixed Function Oxygenases; Omeprazole; Peptic Ulcer; Phenotype; Time Factors,"Kimura, M; Ieiri, I; Wada, Y; Mamiya, K; Urae, A; Iimori, E; Sakai, T; Otsubo, K; Higuchi, S","To evaluate the reliability of the omeprazole hydroxylation index as a marker for polymorphic CYP2C19 activity in a Japanese population of healthy young subjects (n = 78) and patients with peptic ulcer (n = 72).; Healthy subjects were administered a single dose of omeprazole (20 mg), whereas patients received 20 mg daily for at least 1 week. The ratio of the serum concentration of omeprazole to hydroxyomeprazole at 3 h postdose was determined and used as a measure of CYP2C19 activity. The CYP2C19 wild type (wt) gene and four mutant alleles associated with the poor metaboliser phenotype of (S)-mephenytoin, CYP2C19*2 in exon 5, CYP2C19*3 in exon 4, CYP2C19m4 in exon 9, and CYP2C19m3 in the initial codon were analysed.; In the healthy volunteer study there was complete concordance between genotype and phenotype. However, eight of the patients who had the EM genotype had a high value for their hydroxylation index, and were classified as phenotypic PMs. No CYP2C19m4 and CYP2C19m3 mutations were detected in the eight mismatched patients. They were all genotypic heterozygous EMs, elderly (> or = 65 years) and/or had hepatic disease. Therefore, impaired CYP2C19 activity combined with partial saturation of omeprazole metabolism during multiple dosing may have contributed to the discrepancy between CYP2C19 genotyping and phenotyping.; Although omeprazole has been used instead of mephenytoin as a probe for polymorphic CYP2C19, it does not appear to be reliable enough for clinical application in Japanese patients.",E,E
10082075,Safety profile of Lansoprazole: the US clinical trial experience.,2-Pyridinylmethylsulfinylbenzimidazoles; Anti-Ulcer Agents; Clinical Trials as Topic; Esophageal Diseases; Gastric Acid; Humans; Lansoprazole; Omeprazole; Peptic Ulcer; Ranitidine; United States,"Freston, J W; Rose, P A; Heller, C A; Haber, M; Jennings, D","Lansoprazole has undergone extensive clinical evaluation for the treatment of acid-peptic diseases. The aim of this study was to define the safety profile of lansoprazole and compare it to that of other therapeutic agents evaluated in the same controlled trials.; The clinical safety profile of lansoprazole and comparative agents (placebo, ranitidine and omeprazole) was reviewed for 3281 patients who participated in short term (up to 8 weeks) and long term (up to 56 months) clinical trials conducted in the US. Adverse events, laboratory value changes and gastric biopsy changes that occurred during treatment were compared statistically for differences between treatments.; The incidence of adverse events and number of patients discontinuing treatment because of adverse events was similar for lansoprazole and comparative agents. Other than elevated serum gastrin levels, a known effect of proton pump inhibitors, no trends in laboratory changes were observed. Median values for gastrin levels remained within the normal range; about 2% of patients had gastrin levels >400 pg/ml at any time, while <1% had 2 or more gastrin values >500 pg/ml. Values returned to baseline levels after therapy was discontinued. No significant changes in gastric endocrine cell growth from baseline to final visit were observed, nor was there evidence of dysplasia or neoplasia.; Lansoprazole is well tolerated for both short and long term treatment of acid-related disease. The tolerability of lansoprazole is comparable to that of ranitidine, omeprazole and placebo in the treatment of these diseases.",I,E
10088873,Gastroesophageal reflux disease: diagnosis and management.,"Chronic Disease; Combined Modality Therapy; Diagnosis, Differential; Drug Interactions; Esophagitis, Peptic; Gastroesophageal Reflux; Humans; Life Style; Patient Education as Topic; Prevalence; Recurrence; Severity of Illness Index; Teaching Materials; United States","Scott, M; Gelhot, A R","Gastroesophageal reflux disease (GERD) is a chronic, relapsing condition with associated morbidity and an adverse impact on quality of life. The disease is common, with an estimated lifetime prevalence of 25 to 35 percent in the U.S. population. GERD can usually be diagnosed based on the clinical presentation alone. In some patients, however, the diagnosis may require endoscopy and, rarely, ambulatory pH monitoring. Management includes lifestyle modifications and pharmacologic therapy; refractory disease requires surgery. The therapeutic goals are to control symptoms, heal esophagitis and maintain remission so that morbidity is decreased and quality of life is improved.",E,E
10102212,Diseases and problems secondary to massive obesity.,"Female; Female Urogenital Diseases; Gastrointestinal Diseases; Heart Diseases; Humans; Kidney Diseases; Life Expectancy; Male; Male Urogenital Diseases; Metabolic Diseases; Obesity, Morbid; Respiratory Tract Diseases; Risk Factors; Weight Loss","Herrara, M F; Lozano-Salazar, R R; Gonz谩lez-Barranco, J; Rull, J A","Morbid obesity is a health hazard. It carries several health risks and decreases life expectancy. Individuals with morbid obesity may develop one or more complications. These are mainly cardiovascular, metabolic, respiratory, gastrointestinal, renal, genitourinary and gynaecological. Patients with morbid obesity also have a high surgical risk. This review analyses the most common complications of morbidly obese patients and their changes after surgically induced weight loss.",E,E
10102232,Basal and stimulated gastrin and pepsinogen levels after eradication of Helicobacter pylori: a 1-year follow-up study.,Breath Tests; Duodenal Ulcer; Eating; Female; Follow-Up Studies; Gastric Mucosa; Gastrins; Gastroscopy; Helicobacter Infections; Helicobacter pylori; Humans; Male; Middle Aged; Pentagastrin; Pepsinogen A; Pepsinogen C; Prospective Studies; ROC Curve; Recurrence; Regression Analysis; Reproducibility of Results; Sensitivity and Specificity; Time Factors; Urea,"Gisbert, J P; Boixeda, D; Al-Mostafa, A; Vila, T; de Rafael, L; Alvarez Baleriola, I; de Argila, C M; Abraira, V","A decrease in gastrin and pepsinogen (PG) levels 1 month after Helicobacter pylori eradication has been described repeatedly, but the long-term progression of such a decrease has been scarcely studied. We therefore studied the effect of H. pylori eradication on basal and stimulated gastrin and PG levels for 1 year. Initially, the usefulness of measuring these parameters for the noninvasive diagnosis of H. pylori eradication was validated. Furthermore, an assessment was made of the association between H. pylori reinfection and a re-increase in gastrin and PG values. Finally, an evaluation was made of the variables influencing gastrin and PG concentration, with particular attention to H. pylori infection and histological lesions of gastric mucosa.; Two-hundred and twenty-two patients with duodenal ulcer were studied prospectively. Exclusion criteria were the administration of antibiotics, H2 antagonists, omeprazole or bismuth prior to endoscopy. In all patients serum basal levels of gastrin, PGI, and PGII were measured before and 1 month after completing eradication therapy. In the successfully eradicated patients, gastrin, PGI, and PGII were also measured at 6 and 12 months. In 80 patients stimulated measurements of gastrin (after ingestion of two beef cubes) and PGI (after injection of pentagastrin) were also performed. H. pylori-negative patients after therapy underwent a urea breath test at 6 and 12 months, and patients who had stimulated gastrin and PG concentration measured had also an endoscopy performed at 6 months.; H. pylori was eradicated in 73% of patients. A histological improvement was observed 1 month after completing H. pylori eradication therapy, both at gastric antrum and body (P < 0.001), while a further improvement at antrum was demonstrated at 6 months (P < 0.01). With regard to the different cut-off points for decreased basal and stimulated measurements for diagnosing H. pylori eradication, the best results were obtained, respectively, with PGII (sensitivity of 90% and specificity of 76%) and PGI 30 min after stimulation (sensitivity and specificity of 82%), with an area under the ROC curve of 0.87 in both cases. In the multiple regressions analysis H. pylori status correlated with gastrin, PGI and PGII after therapy (P < 0.001), while histological lesions correlated only with gastrin levels (P < 0.05). A decrease in basal and stimulated serum parameters was demonstrated immediately after eradication (Wilcoxon test, P < 0.001), and an additional decrease (at 6 months) was observed just in PGI (Friedman test, P < 0.01). However, gastrin and PGII values remained unchanged after the first month post-eradication. Seven patients were reinfected with H. pylori during follow-up. Quantitation of basal and stimulated gastrin and PGI levels was not reliable as a reinfection marker. Regarding basal PGII, the parallelism was strong at 6 months (re-increase in all four reinfected patients), although only in one out of three with reinfection at 1 year did PGII rise at that stage.; (1) Measurement of gastrin and PG levels (especially basal PGII values) is a useful non-invasive method to confirm H. pylori eradication after therapy. (2) H. pylori eradication is associated with a significant decrease in basal and stimulated gastrin levels and in basal PGII levels that is detected immediately (1 month) after finishing treatment, and remains unchanged for 1 year. However, the decrease in basal and stimulated PGI levels occurs progressively for 6 months, although such levels remain also unchanged afterwards. (3) Measurement of gastrin and PGI concentrations has a limited usefulness in the diagnosis of H. pylori reinfections after successful eradication, although PGII determination could be more useful in this situation.",E,E
