pubmedID,title,keywords,authors,abstracts,label1,label2
10067807,"Migraine: a ""woman's disease?"".",Female; Humans; Migraine Disorders; Sex Factors; Women's Health,"Warshaw, L J; Lipton, R B; Silberstein, S D","Migraine, a chronic disorder characterized by episodes of headache, has a profound effect on the well-being and general functioning of its victims, not only during the acute attacks, but also in terms of impairment of school achievement, work performance, and family/social relationships. Despite staggering social and economic costs, it remains under-diagnosed and under-treated worldwide. Migraine has been labeled a ""woman's disease"" because it is three times more common in women than men, the attacks tend to be more severe and disabling among women and, in some women, they seem to be modulated by such hormonal ""milestones"" as menarche, menstruation, pregnancy and menopause. After a brief review of the diagnosis of migraine, this article will examine the nuances responsible for that label and their implications for treatment.",E,E
10099854,Sumatriptan is effective in the treatment of menstrual migraine: a review of prospective studies and retrospective analyses.,Female; Humans; Menstruation Disturbances; Migraine Disorders; Prospective Studies; Randomized Controlled Trials as Topic; Retrospective Studies; Serotonin Receptor Agonists; Sumatriptan; Treatment Outcome,"Salonen, R; Saiers, J","Menstrual migraine may be debilitating, long-lasting, and refractory to treatment. Because the efficacy and tolerability of abortive and prophylactic treatment options for menstrual migraine have generally not been evaluated in controlled clinical trials, treatment choices are often made on the basis of personal experience and anecdotal reports. This article reviews evidence from retrospective analyses and prospective studies showing that sumatriptan injection and tablets are effective and well tolerated in menstrual migraine. (1) Sumatriptan injection 6 mg was as effective in the treatment of menstrual migraine attacks as it was for nonmenstrual attacks in a retrospective analysis of data from two randomized, double-blind, placebo-controlled, parallel-group trials (n = 1104). In the menstrual migraine group, 80% of women treated with sumatriptan injection 6 mg compared with 19% of placebo-treated patients reported headache relief 1 h postdose (p < 0.001). (2) Sumatriptan injection 6 mg was effective in the acute treatment of menstrual migraine attacks in a prospective, double-blind, placebo-controlled, parallel-group, two-attack study (n = 226). Across the two attacks, 70-71% of patients treating menstrual migraine attacks with sumatriptan injection 6 mg compared with 22-24% of placebo-treated patients reported headache relief 1 h postdose (p < 0.001). (3) Sumatriptan tablets 100 mg were effective in the acute treatment of menstrual migraine attacks in a prospective, double-blind, placebo-controlled, crossover study in women diagnosed with menstrual migraine (n = 115). For menstrual migraine attacks, headache relief 4 h postdose was reported by 67% of sumatriptan-treated patients compared with 33% of placebo-treated patients. Sumatriptan injection and tablets were generally well tolerated in these studies, in which adverse events were characteristic of those typically observed in sumatriptan acute migraine clinical trials. These data demonstrate that sumatriptan injection and tablets are effective and well tolerated in the treatment of menstrual migraine.",E,E
10160470,Comparing dihydroergotamine mesylate and sumatriptan in the management of acute migraine. A retrospective cost-efficacy analysis.,Adolescent; Adult; Aged; Cost-Benefit Analysis; Dihydroergotamine; Humans; Middle Aged; Migraine Disorders; Retrospective Studies; Sumatriptan; Vasoconstrictor Agents,"Payne, K; Kozma, C M; Lawrence, B J","The annual cost of managing migraine totals billions of US dollars. This retrospective economic analysis of a clinical trial comparing subcutaneous dihydroergotamine mesylate (DHE) with subcutaneous sumatriptan in the treatment of acute migraine is appropriate because, although each product has been shown to be efficacious, the acquisition cost of sumatriptan is over 3 times that of DHE. Total costs in each treatment group were calculated and applied independently to 11 clinical trial efficacy measures. Three of the efficacy measures showed no statistically significant difference between treatment arms, leading to a decision to use the less expensive DHE. In 4 of the efficacy measures. DHE was the obvious choice because it is more efficacious and less expensive. For the final 4 efficacy measures, where sumatriptan is more efficacious and more expensive, incremental cost-efficacy ratios were calculated to determine the additional expenditure required to achieve outcomes associated with quick relief. Depending on the efficacy variable chosen and the assumptions used in the model, the incremental cost-efficacy ratios ranged from $US4000 to $US6700 per year (1993 dollars) for each additional patient who is successfully treated with sumatriptan compared with DHE. Therefore, in a population of 100 migraineurs, an additional 13 to 22 patients would achieve these short term benefits of sumatriptan, although it would cost an additional $US88 395 annually, given the assumptions made. Because each product has unique advantages, we conclude that the more cost-efficacious product is dependent on the outcome of interest and the amount that the patient or provider is willing to pay to achieve that outcome.",2,E
10166407,The impact of drug therapy on quality of life in headache and migraine.,Headache; Health Care Costs; Humans; Migraine Disorders; Quality of Life,"Solomon, G D; Litaker, D G","Although headache is among the most common and costly disorders in primary care, our understanding of its direct impact on the quality of life of affected individuals is incomplete. While studies evaluating the role of headache on health-related quality of life and healthcare economics are starting to appear in the medical literature, the effect of pharmacotherapy in improving quality of life is only beginning to be studied. At present, studies evaluating health-related quality of life in patients with migraine who are undergoing treatment are limited to 3 agents: sumatriptan, flurbiprofen and diclofenac. Several studies have consistently indicated that these drugs benefit patients by improving key dimensions of health-related quality of life or patients' sense of well-being to a significant extent. Given the magnitude of functional and emotional impairment associated with chronic headache disorders, assessing patients' perceptions of their quality of life makes a useful contribution to the evaluation of therapeutic interventions and should supplement traditional clinical endpoints in determining the effectiveness of new drugs.",I,E
10168035,Sumatriptan. A pharmacoeconomic review of its use in migraine.,"Economics, Pharmaceutical; Humans; Migraine Disorders; Sumatriptan","Coukell, A J; Lamb, H M","Migraine is a common illness characterised by severe, often throbbing and/or unilateral headache, which may be accompanied by sensitivity to light or noise. A minority of migraine attacks are preceded by transient visual or sensory disturbances. Migraine is associated with reductions in health-related quality of life both during and between attacks. Despite methodological limitations in cost-of-illness studies, it is clear that the cost of migraine to society is substantial. Indirect costs (primarily workplace productivity losses) make up 75 to 90% of total costs. Direct costs, such as the cost of drug treatment, physician consultation, hospitalisation and emergency room treatment, make up most of the remainder. Sumatriptan is an effective and well tolerated agent in the treatment of migraine. Its main advantage over other agents used in the acute management of migraine appears to be its rapid onset of action. Sumatriptan reduces headache severity within 2 hours of oral administration in 50 to 67% of patients and within 1 hour of subcutaneous administration in 70 to 80% of patients. Headache recurs in approximately 40% of patients who initially respond to oral or subcutaneous sumatriptan; however, a second dose of the drug is effective against the symptoms of recurrence in a majority of patients. Some patients experience relief of non-headache migraine symptoms, including nausea, vomiting, photophobia and phonophobia. Adverse events reported after sumatriptan are generally mild and transient. Data from studies of patients who used their usual therapies and sumatriptan in nonblinded, sequential phases indicate that both workplace and nonworkplace productivity losses were reduced during sumatriptan therapy. A cost-benefit analysis applied to some of these workplace productivity data indicated that, including direct costs and productivity savings, sumatriptan was associated with a net reduction in total cost of migraine. In retrospective cost analyses, sumatriptan was associated with increased prescription costs: the effect of the drug on other direct treatment costs was less clear. A retrospective pharmacoeconomic model suggested that the cost-effectiveness of subcutaneous sumatriptan versus subcutaneous dihydroergotamine depended on which outcome measure was of greatest interest. For measures of rapid relief of migraine, sumatriptan was superior, but the cost of achieving rapid relief was substantial. Sumatriptan improved global quality-of-life scores compared with patients' usual therapy in a randomised crossover trial and appeared to do the same when the drugs were administered in nonblinded, sequential phases in trials which used general and migraine-specific quality-of-life instruments. Thus, sumatriptan is associated with a fast onset of action and improvements in health-related quality of life in patients with migraine. However, the cost of achieving rapid relief of migraine symptoms may be substantial. Compared with patients' usual treatments, sumatriptan appeared to reduce workplace and non-workplace productivity losses. However, few economic data from well controlled prospective comparisons of sumatriptan with other available agents are available to quantify the effect of sumatriptan on the overall cost of migraine.",2,E
10168039,"A multinational investigation of the impact of subcutaneous sumatriptan. I: Design, methods and clinical findings.","Adolescent; Adult; Aged; Female; Humans; Injections, Subcutaneous; Male; Middle Aged; Migraine Disorders; Prospective Studies; Serotonin Receptor Agonists; Sumatriptan","Heywood, J; Bouchard, J; Cortelli, P; Dahl枚f, C; Jansen, J P; Pham, S; Hirsch, J; Edwards, C E; Adams, J; Berto, P; Brueggenjuergen, B; Nyth, A L; Lindsay, P; Price, K L","This report describes the design, methods and clinical results of a prospective sequential multinational (5 countries) study conducted to evaluate the effects of subcutaneous sumatriptan on health-related quality of life, workplace productivity, clinical parameters and patient satisfaction. Adult patients with moderate to severe migraine initially received customary therapy for migraine episodes for 12 weeks, followed by 24 weeks' treatment with self-administered subcutaneous sumatriptan 6 mg. Demographic, baseline, health-related quality of life and patient satisfaction rating data were collected during visits to the clinic. Data relating to migraine symptoms, migraine therapy, work productivity and non-work activity time were collected on diary cards filled out by the patients. 749 patients were recruited to the study and 637 received at least 1 dose of sumatriptan. Overall, 75.5% of migraines were successfully treated within 2 hours with sumatriptan compared with 31.9% with customary therapy; 36% of patients reported complete relief at 2 hours with sumatriptan treatment compared with 1% of patients receiving customary therapy. 69% of patients successfully treated 70% of their migraines with sumatriptan within 2 hours, compared with 12% of patients with customary therapy. No serious adverse events were reported; 50% of patients reported an adverse event during the 12-week customary therapy phase and 89% of patients during the 24-week sumatriptan phase. These clinical results, which are consistent with those reported in randomised blinded studies of subcutaneous sumatriptan, suggest that relief of migraine symptoms occurs more often, and in less time, in patients receiving subcutaneous sumatriptan rather than customary therapy as their primary medication.",I,E
10168040,A multinational investigation of the impact of subcutaneous sumatriptan. II: Health-related quality of life.,"Adolescent; Adult; Aged; Female; Humans; Injections, Subcutaneous; Male; Middle Aged; Migraine Disorders; Prospective Studies; Quality of Life; Serotonin Receptor Agonists; Sumatriptan","Dahl枚f, C; Bouchard, J; Cortelli, P; Heywood, J; Jansen, J P; Pham, S; Hirsch, J; Adams, J; Miller, D W","The aim of this prospective sequential multinational (5 countries) study was to concurrently evaluate the effects of subcutaneous sumatriptan on clinical parameters, health-related quality-of-life (HRQOL) measures, workplace productivity and patient satisfaction. This report presents the HRQOL results. 582 patients (aged 18 to 65 years) with moderate to severe migraine received their customary antimigraine therapy for 12 weeks and then subcutaneous sumatriptan for 24 weeks. The Short Form-36 Health Survey and the Migraine-Specific Quality of Life Questionnaire were completed at a screening visit (base-line), at the end of the 12-week customary therapy phase, and at 12 and 24 weeks of the sumatriptan phase. Scores for most of the Short Form-36 dimensions improved significantly (p < 0.05) after 12 and 24 weeks of sumatriptan therapy compared with 12 weeks of customary therapy, in each country. Similarly, scores on all Migraine-Specific Quality of Life Questionnaire dimensions were significantly (p < 0.05; paired t-test) improved after 12 weeks (in all countries) and 24 weeks (in 4 of 5 countries) of sumatriptan therapy compared with 12 weeks of customary therapy. This study demonstrates that, in 5 countries, treatment of migraine attacks with subcutaneous sumatriptan compared with customary therapy was associated with improvements in HRQOL, as measured by both general health status and disease-specific instruments.",I,E
10168041,A multinational investigation of the impact of subcutaneous sumatriptan. III: Workplace productivity and non-workplace activity.,"Adolescent; Adult; Aged; Efficiency; Female; Humans; Injections, Subcutaneous; Male; Middle Aged; Migraine Disorders; Serotonin Receptor Agonists; Sumatriptan; Workplace","Cortelli, P; Dahl枚f, C; Bouchard, J; Heywood, J; Jansen, J P; Pham, S; Hirsch, J; Adams, J; Miller, D W","This report presents the workplace productivity and non-workplace activity results of a multinational study of the effects of subcutaneous sumatriptan 6 mg in the acute treatment of migraine compared with patient's customary therapy. Patients diagnosed with migraine treated their symptoms for 24 weeks with subcutaneous sumatriptan after a 12-week period of treating symptoms with their customary (non-sumatriptan) therapy. Patients used diary cards to record information concerning the effects of migraine on workplace productivity and non-workplace activity time. The average workplace productivity time lost was 23.4 hours per patient during 12 weeks of customary therapy, compared with 7.2 and 5.8 hours per patient during the first and second 12-week periods of sumatriptan therapy, respectively. An average of 9.3 hours of non-workplace activity time was lost per patient during the customary therapy phase, compared with 3.2 and 2.8 hours during the first and second 12-week periods of sumatriptan therapy, respectively. Treatment of migraine with subcutaneous sumatriptan compared with customary therapy was associated with an average gain per patient of approximately 16 hours of workplace productivity time and 6 hours of non-workplace activity time, over a 3-month period.",I,E
10168042,A multinational investigation of the impact of subcutaneous sumatriptan. IV: Patient satisfaction.,"Adolescent; Adult; Aged; Female; Humans; Injections, Subcutaneous; Male; Middle Aged; Migraine Disorders; Patient Satisfaction; Prospective Studies; Serotonin Receptor Agonists; Sumatriptan","Bouchard, J; Cortelli, P; Dahl枚f, C; Heywood, J; Jansen, J P; Price, K L; Pham, S; Joseph, A; Babiak, L","This report describes the patient satisfaction results from a prospective, sequential, multinational study. The study was conducted to concurrently evaluate the effects of sumatriptan, compared with customary therapy, on clinical parameters, health-related quality of life, productivity and patient satisfaction in adult patients with moderate to severe migraine. Patients treated migraine attacks for 12 weeks with their customary therapy, followed by 24 weeks' treatment with subcutaneous sumatriptan 6 mg. A questionnaire was conducted at the end of each study phase, or retrospectively at the end of the study, to assess patient satisfaction with customary therapy and sumatriptan. Sumatriptan was considered by most patients (67 to 85%) to be dependable and fast-acting, and to have a long duration of effect, allowing a quick return to normal activities. By comparison, 15 to 32% of patients considered that their customary therapy possessed the same attributes. However, customary therapy was considered to be easy/very easy to use by 82% of patients compared with 62% for subcutaneous sumatriptan. 89% of patients indicated that they would use sumatriptan again in the future. This study demonstrates that treatment of migraine attacks with subcutaneous sumatriptan for 24 weeks is associated with greater patient satisfaction as regards specific drug attributes than customary therapy.",I,E
10169243,Cost-effectiveness of sumatriptan in a managed care population.,Cost of Illness; Cost-Benefit Analysis; Drug Costs; Health Expenditures; Humans; Independent Practice Associations; Migraine Disorders; Outcome Assessment (Health Care); Sumatriptan; Vasoconstrictor Agents; Washington,"Legg, R F; Sclar, D A; Nemec, N L; Tarnai, J; Mackowiak, J I","We conducted an open-labeled study to determine whether sumatriptan is more cost-effective than other therapies used to treat migraine headache. We contacted by phone 220 sumatriptan users enrolled in QualMed, a health maintenance organization (HMO) in Spokane, Washington. Of these, 203 met the inclusion criteria and 164 (81%) completed our telephone survey. The main outcome measures were healthcare costs to the HMO and number of days free of migraine-related disability before and after sumatriptan treatment. Before sumatriptan treatment, 89% of patients reported severe migraine, compared with 63% after sumatriptan treatment. The number of monthly migraine disability days decreased from 6.5 days per month before sumatriptan to 3.9 days per month after sumatriptan. Healthcare utilization rates (ie, number of hospitalizations, emergency department visits) and costs were lower after the patients began taking sumatriptan. The number of different over-the-counter medicines and prescription medications (other than sumatriptan) taken for migraine disabilities decreased. Although total drug expenditures per month increased, the total migraine healthcare expenditure was 41% lower after sumatriptan was initiated. The cost-effectiveness ratio was 47% more favorable after patients started taking sumatriptan. Overall, patients reported fewer migraine-related disabilities, had lower migraine severity scores, and used fewer healthcare resources when taking sumatriptan. These changes resulted in a better cost-effectiveness ratio for migraine treatment.",I,E
